"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
"North America",499662,"+35,341",17624,"+1,994",31678,450360,10966,,,,,"North America"
Europe,778852,"+33,936",65818,"+4,552",185320,527714,30359,,,,,Europe
Asia,263217,"+9,845",9891,+361,128941,124385,6444,,,,,Asia
"South America",39605,"+4,143",1615,+221,4115,33875,1129,,,,,"South America"
Oceania,7477,+129,52,+1,3305,4120,85,,,,,Australia/Oceania
Africa,12807,+821,630,+54,1693,10484,155,,,,,Africa
,721,,13,,619,89,10,,,,,
World,1602341,"+84,215",95643,"+7,183",355671,1151027,49148,206,12.3,,,All
USA,468008,"+32,978",16649,"+1,858",25316,426043,10011,1414,50,2353096,7109,"North America"
Spain,153222,"+5,002",15447,+655,52165,85610,7371,3277,330,355000,7593,Europe
Italy,143626,"+4,204",18279,+610,28470,96877,3605,2375,302,853369,14114,Europe
Germany,118235,"+4,939",2607,+258,52407,63221,4895,1411,31,1317887,15730,Europe
France,117749,"+4,799",12210,"+1,341",23206,82333,7066,1804,187,333807,5114,Europe
Iran,66220,"+1,634",4110,+117,32309,29801,3918,788,49,231393,2755,Asia
UK,65077,"+4,344",7978,+881,135,56964,1559,959,118,298169,4392,Europe
Turkey,42282,"+4,056",908,+96,2142,39232,1552,501,11,276338,3277,Asia
Belgium,24983,"+1,580",2523,+283,5164,17296,1285,2156,218,84248,7269,Europe
Switzerland,24051,+771,948,+53,10600,12503,386,2779,110,178500,20625,Europe
Netherlands,21762,"+1,213",2396,+148,250,19116,1424,1270,140,101534,5926,Europe
Canada,20765,"+1,327",509,+82,5311,14945,518,550,13,370315,9812,"North America"
Brazil,18145,"+1,957",954,+134,173,17018,296,85,4,62985,296,"South America"
Portugal,13956,+815,409,+29,205,13342,241,1369,40,140368,13766,Europe
Austria,13244,+302,295,+22,5240,7709,266,1471,33,126287,14022,Europe
"S. Korea",10423,+39,204,+4,6973,3246,55,203,4,477304,9310,Asia
Russia,10131,"+1,459",76,+13,698,9357,8,69,0.5,1004719,6885,Europe
Israel,9968,+564,86,+13,1011,8871,166,1152,10,117339,13557,Asia
Sweden,9141,+722,793,+106,205,8143,719,905,79,54700,5416,Europe
India,6725,+809,226,+48,620,5879,,5,0.2,177584,129,Asia
Ireland,6574,+500,263,+28,25,6286,165,1331,53,53000,10734,Europe
Norway,6219,+177,108,+7,32,6079,78,1147,20,121034,22326,Europe
Australia,6152,+100,51,+1,2987,3114,81,241,2,330134,12946,Australia/Oceania
Chile,5972,+426,57,+9,1274,4641,360,312,3,68353,3576,"South America"
Denmark,5635,+233,237,+19,1736,3662,120,973,41,64002,11050,Europe
Poland,5575,+370,174,+15,284,5117,160,147,5,107597,2843,Europe
Czechia,5569,+257,112,+13,301,5156,96,520,10,106845,9977,Europe
Peru,5256,+914,138,+17,1438,3680,124,159,4,48465,1470,"South America"
Romania,5202,+441,248,+28,647,4307,178,270,13,51802,2693,Europe
Ecuador,4965,+515,272,+30,339,4354,139,281,15,19102,1083,"South America"
Japan,4667,,94,,632,3941,99,37,0.7,61498,486,Asia
Pakistan,4489,+226,65,+4,572,3852,31,20,0.3,44896,203,Asia
Malaysia,4228,+109,67,+2,1608,2553,72,131,2,63367,1958,Asia
Philippines,4076,+206,203,+21,124,3749,1,37,2,24500,224,Asia
Indonesia,3293,+337,280,+40,252,2761,,12,1,14354,52,Asia
"Saudi Arabia",3287,+355,44,+3,666,2577,41,94,1,115585,3320,Asia
Mexico,3181,+396,174,+33,633,2374,89,25,1,25410,197,"North America"
Luxembourg,3115,+81,52,+6,500,2563,30,4976,83,27521,43965,Europe
UAE,2990,+331,14,+2,268,2708,1,302,1,593095,59967,Asia
Serbia,2867,+201,66,+1,118,2683,127,328,8,12347,1413,Europe
Panama,2752,+224,66,+3,16,2670,107,638,15,11776,2729,"North America"
