"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
"North America",626498,"+28,203",25082,"+1,606",46563,554853,13863,,,,,"North America"
Europe,907386,"+26,276",79989,"+3,221",231946,595451,29807,,,,,Europe
Asia,310240,"+11,396",11351,+347,150611,148278,6655,,,,,Asia
"South America",54692,"+4,111",2248,+167,7061,45383,1151,,,,,"South America"
Oceania,7799,+67,66,+3,4041,3692,84,,,,,Australia/Oceania
Africa,15944,+862,838,+47,3045,12061,178,,,,,Africa
,721,,13,,619,89,10,,,,,
World,1923280,"+70,915",119587,"+5,391",443886,1359807,51748,247,15.3,,,All
USA,586377,"+26,077",23610,"+1,505",36218,526549,12772,1772,71,2937938,8876,"North America"
Spain,170099,"+3,268",17756,+547,64727,87616,7371,3638,380,600000,12833,Europe
Italy,159516,"+3,153",20465,+566,35435,103616,3260,2638,338,1046910,17315,Europe
France,136779,"+4,188",14967,+574,27718,94094,6821,2095,229,333807,5114,Europe
Germany,130072,"+2,218",3194,+172,64300,62578,4895,1552,38,1317887,15730,Europe
UK,88621,"+4,342",11329,+717,N/A,76948,1559,1305,167,367667,5416,Europe
Iran,73303,"+1,617",4585,+111,45983,22735,3877,873,55,275427,3279,Asia
Turkey,61049,"+4,093",1296,+98,3957,55796,1786,724,15,410556,4868,Asia
Belgium,30589,+942,3903,+303,6707,19979,1234,2639,337,102151,8814,Europe
Netherlands,26551,+964,2823,+86,250,23478,1358,1550,165,115992,6769,Europe
Switzerland,25688,+273,1138,+32,13700,10850,386,2968,131,193800,22393,Europe
Canada,25680,"+1,297",780,+63,7756,17144,557,680,21,437475,11591,"North America"
Brazil,23430,"+1,238",1328,+105,173,21929,296,110,6,62985,296,"South America"
Russia,18328,"+2,558",148,+18,1470,16710,8,126,1,1300000,8908,Europe
Portugal,16934,+349,535,+31,277,16122,188,1661,52,182707,17918,Europe
Austria,14041,+96,368,+18,7343,6330,239,1559,41,148412,16479,Europe
Israel,11586,+441,116,+13,1855,9615,181,1339,13,117339,13557,Asia
Sweden,10948,+465,919,+20,381,9648,859,1084,91,54700,5416,Europe
Ireland,10647,+992,365,+31,25,10257,194,2156,74,72000,14581,Europe
"S. Korea",10537,+25,217,+3,7447,2873,55,206,4,514621,10038,Asia
India,10453,"+1,248",358,+27,1181,8914,,8,0.3,189111,137,Asia
Peru,9784,"+2,265",216,+23,2642,6926,143,297,7,87116,2642,"South America"
Japan,7618,+248,143,+20,799,6676,135,60,1,77381,612,Asia
Ecuador,7529,+63,355,+22,597,6577,121,427,20,24553,1392,"South America"
Chile,7525,+312,82,+2,2367,5076,387,394,4,85035,4448,"South America"
Poland,6934,+260,245,+13,487,6202,160,183,6,143630,3795,Europe
Romania,6633,+333,331,+15,914,5388,231,345,17,67204,3493,Europe
Norway,6603,+78,134,+6,32,6437,59,1218,25,127305,23483,Europe
Australia,6359,+46,61,+2,3494,2804,79,249,2,362136,14201,Australia/Oceania
Denmark,6318,+144,285,+12,2235,3798,100,1091,49,72099,12448,Europe
Czechia,6059,+68,143,+5,519,5397,100,566,13,128359,11986,Europe
Pakistan,5496,+266,93,+2,1095,4308,44,25,0.4,65114,295,Asia
"Saudi Arabia",4934,+472,65,+6,805,4064,59,142,2,115585,3320,Asia
Philippines,4932,+284,315,+18,242,4375,1,45,3,33814,309,Asia
Malaysia,4817,+134,77,+1,2276,2464,66,149,2,81730,2525,Asia
Mexico,4661,+442,296,+23,1843,2522,185,36,2,36594,284,"North America"
Indonesia,4557,+316,399,+26,380,3778,,17,1,27075,99,Asia
UAE,4521,+398,25,+3,852,3644,1,457,3,648195,65538,Asia
Serbia,4054,+424,85,+5,400,3569,138,464,10,20958,2399,Europe
Panama,3472,+72,94,+7,61,3317,106,805,22,15567,3608,"North America"
Luxembourg,3292,+11,69,+3,500,2723,30,5259,110,29315,46831,Europe
Qatar,3231,+252,7,,334,2890,37,1121,2,50828,17642,Asia
"Dominican Republic",3167,+200,177,+4,152,2838,147,292,16,9275,855,"North America"
Ukraine,3102,+325,93,+10,97,2912,45,71,2,32496,743,Europe
Finland,3064,+90,59,+3,300,2705,74,553,11,46000,8302,Europe
