"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Reported
1st case"
USA,214639,"+26,109",5099,"+1,046",8878,200662,5005,648,15,2020/01/20
Italy,110574,"+4,782",13155,+727,16847,80572,4035,1829,218,2020/01/29
Spain,104118,"+8,195",9387,+923,22647,72084,5872,2227,201,2020/01/30
Germany,77981,"+6,173",931,+156,18700,58350,3408,931,11,2020/01/26
France,56989,"+4,861",4032,+509,10935,42022,6017,873,62,2020/01/23
Iran,47593,"+2,988",3036,+138,15473,29084,3871,567,36,2020/02/18
UK,29474,"+4,324",2352,+563,135,26987,163,434,35,2020/01/30
Switzerland,17768,"+1,163",488,+55,2967,14313,348,2053,56,2020/02/24
Turkey,15679,"+2,148",277,+63,333,15069,847,186,3,2020/03/09
Belgium,13964,"+1,189",828,+123,2132,11004,1088,1205,71,2020/02/03
Netherlands,13614,"+1,019",1173,+134,250,12191,1053,795,68,2020/02/26
Austria,10711,+531,146,+18,1436,9129,215,1189,16,2020/02/24
"S. Korea",9887,+101,165,+3,5567,4155,55,193,3,2020/01/19
Canada,9731,"+1,119",114,+13,1736,7881,120,258,3,2020/01/24
Portugal,8251,+808,187,+27,43,8021,230,809,18,2020/03/01
Brazil,6880,"+1,163",242,+41,127,6511,296,32,1,2020/02/24
Israel,6092,+734,26,+6,241,5825,95,704,3,2020/02/20
Australia,5048,+285,23,+3,345,4680,50,198,0.9,2020/01/24
Sweden,4947,+512,239,+59,103,4605,393,490,24,2020/01/30
Norway,4877,+236,44,+5,13,4820,105,900,8,2020/02/25
Czechia,3589,+281,39,+8,61,3489,70,335,4,2020/02/29
Ireland,3447,+212,85,+14,5,3357,103,698,17,2020/02/28
Denmark,3107,+247,104,+14,894,2109,145,536,18,2020/02/26
Chile,3031,+293,16,+4,234,2781,31,159,0.8,2020/03/02
Malaysia,2908,+142,45,+2,645,2218,102,90,1,2020/01/24
Russia,2777,+440,24,+7,190,2563,8,19,0.2,2020/01/30
Ecuador,2758,+456,98,+19,58,2602,100,156,6,2020/02/28
Poland,2554,+243,43,+10,56,2455,50,67,1,2020/03/03
Romania,2460,+215,92,+10,252,2116,57,128,5,2020/02/25
Japan,2384,+206,57,,472,1855,69,19,0.5,2020/01/14
Luxembourg,2319,+141,29,+6,80,2210,31,3705,46,2020/02/28
Philippines,2311,+227,96,+8,50,2165,1,21,0.9,2020/01/29
Pakistan,2118,+180,27,+1,94,1997,12,10,0.1,2020/02/25
India,1998,+601,58,+23,148,1792,,1,0.04,2020/01/29
Thailand,1771,+120,12,+2,505,1254,23,25,0.2,2020/01/12
"Saudi Arabia",1720,+157,16,+6,264,1440,31,49,0.5,2020/03/01
Indonesia,1677,+149,157,+21,103,1417,,6,0.6,2020/03/01
Finland,1446,+28,17,,10,1419,62,261,3,2020/01/28
Greece,1415,+101,51,+2,52,1312,90,136,5,2020/02/25
"South Africa",1380,+27,5,,50,1325,7,23,0.08,2020/03/04
Peru,1323,+258,38,+8,394,891,49,40,1,2020/03/05
Panama,1317,+136,32,+2,9,1276,50,305,7,2020/03/09
"Dominican Republic",1284,+175,57,+6,9,1218,,118,5,2020/02/29
Iceland,1220,+85,2,,236,982,12,3575,6,2020/02/27
Mexico,1215,+121,29,+1,35,1151,1,9,0.2,2020/02/27
Argentina,1133,+79,32,+5,248,853,,25,0.7,2020/03/02
Colombia,1065,+159,17,+1,39,1009,47,21,0.3,2020/03/05
Serbia,1060,+160,28,+5,42,990,62,121,3,2020/03/05
Singapore,1000,+74,3,,245,752,24,171,0.5,2020/01/22
Croatia,963,+96,6,,73,884,34,235,1,2020/02/24
Algeria,847,+131,58,+14,61,728,,19,1,2020/02/24
Slovenia,841,+39,15,,10,816,31,405,7,2020/03/03
Qatar,835,+54,2,,71,762,37,290,0.7,2020/02/28
UAE,814,+150,8,+2,61,745,2,82,0.8,2020/01/28
Ukraine,794,+149,20,+3,13,761,,18,0.5,2020/03/02
Egypt,779,+69,52,+6,179,548,,8,0.5,2020/02/13
Estonia,779,+34,5,+1,33,741,15,587,4,2020/02/26
"Hong Kong",765,+50,4,,147,614,5,102,0.5,2020/01/22
Iraq,728,+34,52,+2,182,494,,18,1,2020/02/21
"Diamond Princess",712,,11,,603,98,15,,,2020/02/04
"New Zealand",708,+61,1,,83,624,2,147,0.2,2020/02/27
Morocco,654,+37,39,+3,29,586,1,18,1,2020/03/01
Lithuania,581,+44,8,,7,566,11,213,3,2020/02/27
Armenia,571,+39,4,+1,31,536,30,193,1,2020/02/29
Bahrain,569,+2,4,,337,228,3,334,2,2020/02/23
Hungary,525,+33,20,+4,40,465,17,54,2,2020/03/03
Lebanon,479,+16,14,+2,43,422,5,70,2,2020/02/20
"Bosnia and Herzegovina",459,+39,13,,19,427,1,140,4,2020/03/04
Latvia,446,+48,,,1,445,3,236,,2020/03/01
Tunisia,423,+29,12,+2,5,406,10,36,1,2020/03/01
Moldova,423,+70,5,+1,23,395,44,105,1,2020/03/06
Bulgaria,422,+23,10,+2,20,392,18,61,1,2020/03/06
Slovakia,400,+37,1,+1,3,396,1,73,0.2,2020/03/05
Andorra,390,+14,14,+2,10,366,12,5048,181,2020/03/01
