"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
"North America",723869,"+31,311",36668,"+2,377",70027,617174,14460,,,,,"North America"
Europe,1015498,"+44,741",92224,"+3,905",275293,647981,27806,,,,,Europe
Asia,345365,"+12,122",12414,+346,165705,167246,6452,,,,,Asia
"South America",67591,"+4,289",3057,+260,25971,38563,7601,,,,,"South America"
Oceania,7966,+42,72,,4518,3376,71,,,,,Australia/Oceania
Africa,18993,"+1,166",968,+55,4585,13440,180,,,,,Africa
,721,,14,,644,63,7,,,,,
World,2180003,"+93,671",145417,"+6,943",546743,1487843,56577,280,18.7,,,All
USA,677056,"+29,053",34580,"+2,137",57271,585205,13369,2045,104,3397021,10263,"North America"
Spain,184948,"+4,289",19315,+503,74797,90836,7371,3956,413,930230,19896,Europe
Italy,168941,"+3,786",22170,+525,40164,106607,2936,2794,367,1178403,19490,Europe
France,165027,"+17,164",17920,+753,32812,114295,6248,2528,275,333807,5114,Europe
Germany,137698,"+2,945",4052,+248,77000,56646,4288,1643,48,1728357,20629,Europe
UK,103093,"+4,617",13729,+861,N/A,89020,1559,1519,202,417649,6152,Europe
Iran,77995,"+1,606",4869,+92,52229,20897,3594,929,58,310340,3695,Asia
Turkey,74193,"+4,801",1643,+125,7089,65461,1854,880,19,518143,6144,Asia
Belgium,34809,"+1,236",4857,+417,7562,22390,1182,3003,419,134303,11588,Europe
Brazil,30683,"+2,073",1947,+190,14026,14710,6634,144,9,62985,296,"South America"
Canada,29929,"+1,550",1191,+181,9674,19064,557,793,32,487625,12920,"North America"
Netherlands,29214,"+1,061",3315,+181,250,25649,1279,1705,193,147948,8634,Europe
Russia,27938,"+3,448",232,+34,2304,25402,8,191,2,1613413,11056,Europe
Switzerland,26732,+396,1281,+42,15900,9551,386,3089,148,206400,23849,Europe
Portugal,18841,+750,629,+30,493,17719,229,1848,62,208314,20430,Europe
Austria,14476,+126,410,+17,8986,5080,238,1607,46,162816,18078,Europe
India,13430,"+1,060",448,+26,1768,11214,,10,0.3,302956,220,Asia
Ireland,13271,+724,486,+42,77,12708,156,2688,98,90646,18358,Europe
Israel,12758,+257,142,+12,2818,9798,181,1474,16,187250,21634,Asia
Sweden,12540,+613,1333,+130,550,10657,522,1242,132,74600,7387,Europe
Peru,12491,"+1,016",274,+20,6120,6097,169,379,8,121468,3684,"South America"
"S. Korea",10613,+22,229,+4,7757,2627,55,207,4,538775,10509,Asia
Chile,8807,+534,105,+11,3299,5403,384,461,5,98424,5149,"South America"
Japan,8626,,178,,901,7547,168,68,1,94236,745,Asia
Ecuador,8225,+367,403,+15,838,6984,168,466,23,27868,1580,"South America"
Poland,7918,+336,314,+28,774,6830,160,209,8,169071,4467,Europe
Romania,7707,+491,392,+20,1357,5958,243,401,20,79629,4139,Europe
Pakistan,6919,+536,128,+17,1645,5146,46,31,0.6,78979,358,Asia
Norway,6896,+99,152,+2,32,6712,64,1272,28,133707,24664,Europe
Denmark,6879,+198,321,+12,3023,3535,92,1188,55,82380,14223,Europe
