"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
"North America",851372,"+31,289",45426,"+2,089",88671,717275,15032,,,,,"North America"
Europe,1113096,"+23,840",104491,"+2,655",321521,687084,26126,,,,,Europe
Asia,395657,"+12,500",15105,+319,186195,194357,6310,,,,,Asia
"South America",86486,"+4,234",4079,+230,37059,45348,9053,,,,,"South America"
Oceania,8164,+24,83,,5269,2812,53,,,,,Australia/Oceania
Africa,24171,"+1,205",1164,+39,6451,16556,177,,,,,Africa
,721,,15,,644,62,7,,,,,
World,2479667,"+73,092",170363,"+5,332",645810,1663494,56758,318,21.9,,,All
USA,792735,"+28,099",42507,"+1,932",71951,678277,13946,2395,128,4023283,12155,"North America"
Spain,200210,"+1,536",20852,+399,80587,98771,7371,4282,446,930230,19896,Europe
Italy,181228,"+2,256",24114,+454,48877,108237,2573,2997,399,1398024,23122,Europe
France,155383,"+2,489",20265,+547,37409,97709,5683,2380,310,463662,7103,Europe
Germany,147065,"+1,323",4862,+220,91500,50703,2889,1755,58,1728357,20629,Europe
UK,124743,"+4,676",16509,+449,N/A,107890,1559,1838,243,501379,7386,Europe
Turkey,90980,"+4,674",2140,+123,13430,75410,1909,1079,25,673980,7991,Asia
Iran,83505,"+1,294",5209,+91,59273,19023,3389,994,62,353012,4203,Asia
Russia,47121,"+4,268",405,+44,3446,43270,700,323,3,2053319,14070,Europe
Brazil,40743,"+2,089",2587,+125,22130,16026,7919,192,12,291922,1373,"South America"
Belgium,39983,"+1,487",5828,+145,8895,25260,1071,3450,503,161896,13969,Europe
Canada,36829,"+1,773",1690,+103,12586,22553,557,976,45,559578,14826,"North America"
Netherlands,33405,+750,3751,+67,250,29404,1158,1950,219,171415,10004,Europe
Switzerland,27944,+204,1429,+36,18600,7915,386,3229,165,224442,25933,Europe
Portugal,20863,+657,735,+21,610,19518,215,2046,72,235878,23133,Europe
India,18539,+924,592,+33,3273,14674,,13,0.4,401586,291,Asia
Peru,16325,+697,445,+45,6968,8912,385,495,13,148011,4489,"South America"
Ireland,15652,+401,687,+77,77,14888,294,3170,139,90646,18358,Europe
Austria,14795,+46,470,+18,10631,3694,194,1643,52,182949,20313,Europe
Sweden,14777,+392,1580,+40,550,12647,521,1463,156,74600,7387,Europe
Israel,13713,+222,177,+5,4049,9487,149,1584,20,240303,27763,Asia
Japan,10797,,236,,1159,9402,217,85,2,112816,892,Asia
"S. Korea",10674,+13,236,+2,8114,2324,55,208,5,563035,10982,Asia
Chile,10507,+419,139,+6,4676,5692,377,550,7,118827,6216,"South America"
"Saudi Arabia",10484,"+1,122",103,+6,1490,8891,88,301,3,180000,5170,Asia
Ecuador,10128,+660,507,+33,1150,8471,124,574,29,32453,1839,"South America"
Poland,9593,+306,380,+20,1133,8080,160,253,10,214236,5661,Europe
Romania,8936,+190,478,+27,2017,6441,261,465,25,98491,5120,Europe
Pakistan,8418,+70,176,+8,1970,6272,46,38,0.8,104302,472,Asia
Mexico,8261,+764,686,+36,2627,4948,207,64,5,49570,384,"North America"
Singapore,8014,"+1,426",11,,801,7202,23,1370,2,94796,16203,Asia
Denmark,7515,+131,364,+9,4312,2839,84,1297,63,96244,16616,Europe
UAE,7265,+484,43,+2,1360,5862,1,735,4,790000,79875,Asia
Norway,7156,+78,181,+16,32,6943,58,1320,33,143255,26425,Europe
Czechia,6900,+154,194,+8,1559,5147,84,644,18,172123,16073,Europe
Indonesia,6760,+185,590,+8,747,5423,,25,2,43749,160,Asia
Serbia,6630,+312,125,+3,870,5635,108,759,14,41812,4785,Europe
Australia,6625,+13,71,,4258,2296,49,260,3,431734,16931,Australia/Oceania
Philippines,6459,+200,428,+19,613,5418,1,59,4,59928,547,Asia
Belarus,6264,"+1,485",51,+4,514,5699,92,663,5,102556,10853,Europe
Qatar,6015,+567,9,+1,555,5451,37,2088,3,64620,22429,Asia
Ukraine,5710,+261,151,+10,359,5200,45,131,3,58093,1328,Europe
Malaysia,5425,+36,89,,3295,2041,45,168,3,108216,3344,Asia
"Dominican Republic",4964,+284,235,+9,416,4313,128,458,22,57809,5329,"North America"
Panama,4467,+194,126,+6,165,4176,98,1035,29,19091,4425,"North America"
Colombia,3977,+185,189,+10,804,2984,98,78,4,62746,1233,"South America"
Finland,3868,+85,98,+4,2000,1770,67,698,18,59200,10685,Europe
Luxembourg,3558,+8,75,+2,637,2846,32,5684,120,33798,53992,Europe
Egypt,3333,+189,250,+11,821,2262,,33,2,55000,537,Africa
"South Africa",3300,+142,58,+4,1055,2187,36,56,1,121510,2049,Africa
Morocco,3046,+191,143,+2,350,2553,1,83,4,16386,444,Africa
Argentina,3031,+90,142,+8,737,2152,123,67,3,34568,765,"South America"
Bangladesh,2948,+492,101,+10,85,2762,1,18,0.6,26604,162,Asia
Thailand,2792,+27,47,,1999,746,61,40,0.7,142589,2043,Asia
Algeria,2718,+89,384,+9,1099,1235,40,62,9,6500,148,Africa
Moldova,2548,+76,70,+3,457,2021,212,632,17,11763,2916,Europe
Greece,2245,+10,116,+3,269,1860,61,215,11,54344,5214,Europe
Kuwait,1995,+80,9,+2,367,1619,39,467,2,,,Asia
Hungary,1984,+68,199,+10,267,1518,60,205,21,48057,4975,Europe
Bahrain,1907,+26,7,,769,1131,2,1121,4,89225,52437,Asia
