"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Reported
1st case"
USA,187347,"+23,559",3860,+719,6461,177026,3988,566,12,2020/01/20
Italy,105792,"+4,053",12428,+837,15729,77635,4023,1750,206,2020/01/29
Spain,95923,"+7,967",8464,+748,19259,68200,5607,2052,181,2020/01/30
Germany,71808,"+4,923",775,+130,16100,54933,2675,857,9,2020/01/26
France,52128,"+7,578",3523,+499,9444,39161,5565,799,54,2020/01/23
Iran,44605,"+3,110",2898,+141,14656,27051,3703,531,35,2020/02/18
UK,25150,"+3,009",1789,+381,135,23226,163,370,26,2020/01/30
Switzerland,16605,+683,433,+74,1823,14349,301,1919,50,2020/02/24
Turkey,13531,"+2,704",214,+46,243,13074,622,160,3,2020/03/09
Belgium,12775,+876,705,+192,1696,10374,1021,1102,61,2020/02/03
Netherlands,12595,+845,1039,+175,250,11306,1053,735,61,2020/02/26
Austria,10180,+562,128,+20,1095,8957,198,1130,14,2020/02/24
"S. Korea",9786,+125,162,+4,5408,4216,55,191,3,2020/01/19
Canada,8612,"+1,164",101,+12,1242,7269,120,228,3,2020/01/24
Portugal,7443,"+1,035",160,+20,43,7240,188,730,16,2020/03/01
Brazil,5717,"+1,087",201,+38,127,5389,296,27,0.9,2020/02/24
Israel,5358,+663,20,+4,224,5114,94,619,2,2020/02/20
Australia,4763,+303,20,+1,345,4398,28,187,0.8,2020/01/24
Norway,4641,+196,39,+7,13,4589,97,856,7,2020/02/25
Sweden,4435,+407,180,+34,16,4239,358,439,18,2020/01/30
Czechia,3308,+307,31,+8,45,3232,64,309,3,2020/02/29
Ireland,3235,+325,71,+17,5,3159,103,655,14,2020/02/28
Denmark,2860,+283,90,+13,1,2769,145,494,16,2020/02/26
Malaysia,2766,+140,43,+6,537,2186,94,85,1,2020/01/24
Chile,2738,+289,12,+4,156,2570,14,143,0.6,2020/03/02
Russia,2337,+501,17,+8,121,2199,8,16,0.1,2020/01/30
Poland,2311,+256,33,+2,7,2271,50,61,0.9,2020/03/03
Ecuador,2302,+336,79,+17,58,2165,100,130,4,2020/02/28
Romania,2245,+136,82,+17,220,1943,62,117,4,2020/02/25
Luxembourg,2178,+190,23,+1,80,2075,31,3479,37,2020/02/28
Philippines,2084,+538,88,+10,49,1947,1,19,0.8,2020/01/29
Japan,1953,,56,,424,1473,56,15,0.4,2020/01/14
Pakistan,1938,+221,26,+5,76,1836,12,9,0.1,2020/02/25
Thailand,1651,+127,10,+1,342,1299,23,24,0.1,2020/01/12
"Saudi Arabia",1563,+110,10,+2,165,1388,31,45,0.3,2020/03/01
Indonesia,1528,+114,136,+14,81,1311,,6,0.5,2020/03/01
Finland,1418,+66,17,+4,10,1391,56,256,3,2020/01/28
India,1397,+146,35,+3,123,1239,,1,0.03,2020/01/29
"South Africa",1353,+27,5,+2,31,1317,7,23,0.08,2020/03/04
Greece,1314,+102,49,+3,52,1213,72,126,5,2020/02/25
Panama,1181,+106,30,+3,9,1142,50,274,7,2020/03/09
Iceland,1135,+49,2,,198,935,11,3326,6,2020/02/27
"Dominican Republic",1109,+208,51,+9,5,1053,,102,5,2020/02/29
Mexico,1094,+101,28,+8,35,1031,1,8,0.2,2020/02/27
Peru,1065,+115,30,+6,394,641,49,32,0.9,2020/03/05
Argentina,1054,+234,27,+4,240,787,,23,0.6,2020/03/02
Singapore,926,+47,3,,240,683,22,158,0.5,2020/01/22
Colombia,906,+108,16,+2,31,859,35,18,0.3,2020/03/05
Serbia,900,+115,23,+7,42,835,62,103,3,2020/03/05
Croatia,867,+77,6,,67,794,32,211,1,2020/02/24
Slovenia,802,+46,15,+4,10,777,24,386,7,2020/03/03
Qatar,781,+88,2,+1,62,717,6,271,0.7,2020/02/28
Estonia,745,+30,4,+1,26,715,13,562,3,2020/02/26
Algeria,716,+132,44,+9,46,626,,16,1,2020/02/24
"Hong Kong",714,+31,4,,128,582,5,95,0.5,2020/01/22
"Diamond Princess",712,,10,,603,99,15,,,2020/02/04
Egypt,710,+54,46,+5,157,507,,7,0.4,2020/02/13
Iraq,694,+64,50,+4,170,474,,17,1,2020/02/21
UAE,664,+53,6,+1,61,597,2,67,0.6,2020/01/28
"New Zealand",647,+58,1,,74,572,2,134,0.2,2020/02/27
Ukraine,645,+97,17,+4,10,618,,15,0.4,2020/03/02
Morocco,617,+61,36,+3,24,557,1,17,1,2020/03/01
Bahrain,567,+52,4,,295,268,2,333,2,2020/02/23
Lithuania,537,+46,8,+1,7,522,27,197,3,2020/02/27
Armenia,532,+50,3,,30,499,30,180,1,2020/02/29
Hungary,492,+45,16,+1,37,439,6,51,2,2020/03/03
Lebanon,470,+24,12,+1,37,421,7,69,2,2020/02/20
"Bosnia and Herzegovina",420,+52,13,+3,17,390,1,128,4,2020/03/04
Bulgaria,399,+40,8,,17,374,14,57,1,2020/03/06
Latvia,398,+22,,,1,397,3,211,,2020/03/01
Tunisia,394,+32,10,+1,3,381,10,33,0.8,2020/03/01
Andorra,376,+6,12,+4,10,354,12,4866,155,2020/03/01
Slovakia,363,+27,,,3,360,1,66,,2020/03/05
Moldova,353,+55,4,+2,18,331,44,88,1,2020/03/06
"Costa Rica",347,+17,2,,4,341,8,68,0.4,2020/03/04
Kazakhstan,343,+41,2,+1,24,317,6,18,0.1,2020/03/12
Uruguay,338,+18,1,,41,296,12,97,0.3,2020/03/12
"North Macedonia",329,+44,9,+2,12,308,4,158,4,2020/02/25
Taiwan,322,+16,5,,39,278,,14,0.2,2020/01/20
Azerbaijan,298,+25,5,+1,26,267,11,29,0.5,2020/02/27
Kuwait,289,+23,,,73,216,13,68,,2020/02/23
Jordan,274,+6,5,,30,239,5,27,0.5,2020/03/01
Cyprus,262,+32,8,+1,23,231,3,217,7,2020/03/08
"Burkina Faso",261,+15,14,+2,32,215,,12,0.7,2020/03/08
Réunion,247,+23,,,1,246,4,276,,2020/03/10
Albania,243,+20,15,+4,52,176,8,84,5,2020/03/07
"San Marino",236,+6,26,+1,13,197,16,6955,766,2020/02/26
Vietnam,212,+8,,,58,154,3,2,,2020/01/22
Cameroon,193,+54,6,,5,182,,7,0.2,2020/03/05
Oman,192,+13,1,+1,34,157,3,38,0.2,2020/02/23
Cuba,186,+16,6,+2,8,172,3,16,0.5,2020/03/10
"Ivory Coast",179,+11,1,,7,171,,7,0.04,2020/03/10
Senegal,175,+13,,,40,135,,10,,2020/03/01
Afghanistan,174,+4,4,,5,165,,4,0.1,2020/02/23
Uzbekistan,172,+23,2,,7,163,8,5,0.06,2020/03/14
"Faeroe Islands",169,+1,,,74,95,3,3459,,2020/03/03
Malta,169,+13,,,2,167,2,383,,2020/03/06
Ghana,161,+9,5,,31,125,1,5,0.2,2020/03/11
Belarus,152,,1,+1,47,104,2,16,0.1,2020/02/27
Mauritius,143,+15,5,+2,,138,1,112,4,2020/03/17
"Sri Lanka",143,+21,2,,17,124,5,7,0.09,2020/01/26
Honduras,141,+2,7,,3,131,4,14,0.7,2020/03/10
"Channel Islands",141,,3,+1,,138,,811,17,2020/03/08
Venezuela,135,,3,,39,93,6,5,0.1,2020/03/12
Nigeria,135,+4,2,,8,125,,0.7,0.01,2020/02/27
Brunei,129,+2,1,,45,83,3,295,2,2020/03/08
Martinique,128,+35,3,+2,27,98,15,341,8,2020/03/04
Palestine,119,+2,1,,18,100,,23,0.2,2020/03/04
Guadeloupe,114,+8,4,,22,88,14,285,10,2020/03/12
Georgia,110,+7,,,21,89,6,28,,2020/02/25
Montenegro,109,+18,2,+1,,107,1,174,3,2020/03/16
Cambodia,109,+2,,,23,86,1,7,,2020/01/26
Bolivia,107,+10,6,+2,,101,3,9,0.5,2020/03/09
Kyrgyzstan,107,+13,,,3,104,,16,,2020/03/17
DRC,98,+17,8,,2,88,,1,0.09,2020/03/09
Mayotte,94,+12,1,+1,10,83,3,345,4,2020/03/13
"Trinidad and Tobago",87,+4,3,,1,83,,62,2,2020/03/11
Rwanda,75,+5,,,,75,,6,,2020/03/13
Gibraltar,69,,,,34,35,,2048,,2020/03/02
Liechtenstein,68,+6,,,,68,,1783,,2020/03/02
Paraguay,65,+1,3,,1,61,3,9,0.4,2020/03/06
"Isle of Man",60,+11,,,,60,,706,,2020/03/18
Kenya,59,+9,1,,1,57,2,1,0.02,2020/03/12
Madagascar,57,+14,,,,57,6,2,,2020/03/19
Aruba,55,+5,,,1,54,,515,,2020/03/12
Monaco,52,+3,1,,2,49,,1325,25,2020/02/27
Bangladesh,51,+2,5,,25,21,1,0.3,0.03,2020/03/07
"French Guiana",51,+8,,,15,36,,171,,2020/03/06
Uganda,44,+11,,,,44,,1,,2020/03/20
Macao,41,+3,,,10,31,,63,,2020/01/21
Jamaica,38,+2,2,+1,2,34,,13,0.7,2020/03/09
Guatemala,38,+2,1,,12,25,1,2,0.06,2020/03/12
"French Polynesia",37,+1,,,,37,1,132,,2020/03/10
Zambia,36,+1,,,,36,,2,,2020/03/17
Niger,34,+7,3,,,31,,1,0.1,2020/03/18
Togo,34,+4,1,,10,23,,4,0.1,2020/03/05
Barbados,34,+1,,,,34,,118,,2020/03/16
"El Salvador",32,+2,1,+1,,31,5,5,0.2,2020/03/18
Bermuda,32,+5,,,10,22,,514,,2020/03/17
Djibouti,30,+12,,,,30,,30,,2020/03/17
Mali,28,+3,2,,,26,,1,0.1,2020/03/24
Ethiopia,26,+3,,,2,24,2,0.2,,2020/03/12
Guinea,22,,,,,22,,2,,2020/03/12
Tanzania,19,,1,+1,1,17,,0.3,0.02,2020/03/15
Congo,19,,,,,19,,3,,2020/03/14
Maldives,18,+1,,,13,5,,33,,2020/03/06
Gabon,16,+9,1,,,15,,7,0.4,2020/03/12
"New Caledonia",16,+1,,,,16,,56,,2020/03/17
Myanmar,15,+1,1,+1,,14,,0.3,0.02,2020/03/22
"Saint Martin",15,,1,,2,12,,388,26,2020/02/29
"Equatorial Guinea",15,+3,,,1,14,,11,,2020/03/13
Eritrea,15,,,,,15,,4,,2020/03/20
Haiti,15,,,,1,14,,1,,2020/03/19
"Cayman Islands",14,+2,1,,,13,,213,15,2020/03/12
Bahamas,14,,,,1,13,,36,,2020/03/14
"Saint Lucia",13,+4,,,1,12,,71,,2020/03/12
Guyana,12,+4,2,+1,,10,,15,3,2020/03/11
Dominica,12,,,,,12,,167,,2020/03/21
Mongolia,12,,,,2,10,,4,,2020/03/09
Curaçao,11,,1,,2,8,,67,6,2020/03/12
Namibia,11,,,,2,9,,4,,2020/03/13
Syria,10,,2,,,8,,0.6,0.1,2020/03/21
Greenland,10,,,,2,8,,176,,2020/03/15
Libya,10,+2,,,1,9,,1,,2020/03/23
Seychelles,10,+2,,,,10,,102,,2020/03/13
Benin,9,+3,,,1,8,,0.7,,2020/03/15
Grenada,9,,,,,9,,80,,2020/03/21
Laos,9,+1,,,,9,,1,,2020/03/23
Suriname,9,+1,,,,9,,15,,2020/03/12
Eswatini,9,,,,,9,,8,,2020/03/13
Zimbabwe,8,+1,1,,,7,,0.5,0.07,2020/03/19
Guinea-Bissau,8,,,,,8,,4,,2020/03/24
Mozambique,8,,,,,8,,0.3,,2020/03/21
"Saint Kitts and Nevis",8,+1,,,,8,,150,,2020/03/24
Angola,7,,2,,1,4,,0.2,0.06,2020/03/19
Sudan,7,+1,2,,1,4,,0.2,0.05,2020/03/12
"Antigua and Barbuda",7,,,,,7,,71,,2020/03/12
Chad,7,+2,,,,7,,0.4,,2020/03/18
"Cabo Verde",6,,1,,,5,,11,2,2020/03/19
Mauritania,6,,1,,2,3,,1,0.2,2020/03/12
"Vatican City",6,,,,,6,,7491,,2020/03/05
"St. Barth",6,,,,1,5,,607,,2020/02/29
"Sint Maarten",6,,,,,6,,140,,2020/03/17
Nicaragua,5,+1,1,,,4,,0.8,0.2,2020/03/18
Nepal,5,,,,1,4,,0.2,,2020/01/23
Fiji,5,,,,,5,,6,,2020/03/18
Montserrat,5,,,,,5,,1002,,2020/03/17
Somalia,5,+2,,,1,4,,0.3,,2020/03/15
"Turks and Caicos",5,,,,,5,,129,,2020/03/22
Botswana,4,+1,1,+1,,3,,2,0.4,2020/03/29
Gambia,4,,1,,,3,,2,0.4,2020/03/16
Bhutan,4,,,,,4,,5,,2020/03/05
Belize,3,,,,,3,,8,,2020/03/22
"British Virgin Islands",3,+1,,,,3,,99,,2020/03/24
CAR,3,,,,,3,,0.6,,2020/03/14
Liberia,3,,,,,3,,0.6,,2020/03/15
"MS Zaandam",2,,,,,2,,,,2020/03/26
Anguilla,2,,,,,2,,133,,2020/03/25
Burundi,2,+2,,,,2,,0.2,,2020/03/30
"Papua New Guinea",1,,,,,1,,0.1,,2020/03/19
"St. Vincent Grenadines",1,,,,1,0,,9,,2020/03/10
"Sierra Leone",1,+1,,,,1,,0.1,,2020/03/30
Timor-Leste,1,,,,,1,,0.8,,2020/03/20
China,81518,,3305,,76052,2161,528,57,2,2020/01/10
*Total:*,856917,"+72,179",42107,"+4,334",177141,637669,32297,109.9,5.4,
