"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
"North America",1033506,"+37,169",58571,"+2,376",142312,832623,16361,,,,,"North America"
Europe,1252402,"+27,088",120114,"+2,790",407049,725239,25893,,,,,Europe
Asia,460415,"+12,199",16938,+335,220515,222962,6029,,,,,Asia
"South America",131149,"+10,983",6004,+466,47916,77229,9690,,,,,"South America"
Oceania,8257,+25,98,+2,6558,1601,46,,,,,Australia/Oceania
Africa,31102,"+1,262",1379,+51,9530,20193,155,,,,,Africa
,721,,15,,645,61,4,,,,,
World,2917552,"+88,726",203119,"+6,020",834525,1879908,58178,374,26.1,,,All
USA,959143,"+33,911",54228,"+2,035",116201,788714,15110,2898,164,5279237,15949,"North America"
Spain,223759,"+3,995",22902,+378,95708,105149,7705,4786,490,930230,19896,Europe
Italy,195351,"+2,357",26384,+415,63120,105847,2102,3231,436,1707743,28245,Europe
France,161488,"+1,660",22614,+369,44594,94280,4725,2474,346,463662,7103,Europe
Germany,156418,"+1,419",5873,+113,109800,40745,2908,1867,70,2072669,24738,Europe
UK,148377,"+4,913",20319,+813,N/A,127714,1559,2186,299,640792,9439,Europe
Turkey,107773,"+2,861",2706,+106,25582,79485,1782,1278,32,868565,10298,Asia
Iran,89328,"+1,134",5650,+76,68193,15485,3096,1064,67,410075,4882,Asia
Russia,74588,"+5,966",681,+66,6250,67657,2300,511,5,2721500,18649,Europe
Brazil,59196,"+6,201",4045,+375,29160,25991,8318,278,19,291922,1373,"South America"
Canada,45354,"+1,466",2465,+163,16425,26464,557,1202,65,684271,18130,"North America"
Belgium,45325,"+1,032",6917,+238,10417,27991,934,3911,597,189067,16313,Europe
Netherlands,37190,+655,4409,+120,N/A,32531,959,2170,257,193950,11319,Europe
Switzerland,28894,+217,1599,+10,21300,5995,204,3339,185,245300,28343,Europe
India,26283,"+1,836",825,+45,5939,19519,,19,0.6,579957,420,Asia
Peru,25331,"+3,683",700,+66,7797,16834,545,768,21,218195,6618,"South America"
Portugal,23392,+595,880,+26,1277,21235,186,2294,86,330512,32414,Europe
Ecuador,22719,,576,,1366,20777,127,1288,33,56513,3203,"South America"
Ireland,18561,+377,1063,+49,9233,8265,142,3759,215,127319,25785,Europe
Sweden,18177,+610,2192,+40,1005,14980,547,1800,217,94500,9357,Europe
"Saudi Arabia",16299,"+1,197",136,+9,2215,13948,115,468,4,200000,5745,Asia
Israel,15298,+240,199,+5,6435,8664,127,1767,23,302691,34971,Asia
Austria,15148,+77,536,+6,12103,2509,148,1682,60,221098,24549,Europe
Mexico,12872,"+1,239",1221,+152,7149,4502,378,100,9,51297,398,"North America"
Chile,12858,+552,181,+7,6746,5931,418,673,9,149212,7806,"South America"
Japan,12829,+117,345,,1530,10954,263,101,3,141600,1120,Asia
Pakistan,12723,+783,269,+16,2866,9588,111,58,1,144365,654,Asia
Singapore,12693,+618,12,,1002,11679,24,2170,2,121774,20815,Asia
Poland,11273,+381,524,+30,2126,8623,160,298,14,278994,7372,Europe
"S. Korea",10718,+10,240,,8635,1843,55,209,5,595161,11609,Asia
Romania,10635,+218,601,+34,2890,7144,235,553,31,126645,6583,Europe
UAE,9813,+532,71,+7,1887,7855,1,992,7,1022326,103365,Asia
Belarus,9590,+817,67,+4,1573,7950,92,1015,7,139295,14741,Europe
Qatar,9358,+833,10,,929,8419,72,3248,3,79705,27665,Asia
Indonesia,8607,+396,720,+31,1042,6845,,31,3,67828,248,Asia
Denmark,8445,+235,418,+15,5669,2358,70,1458,72,136738,23607,Europe
Ukraine,8125,+478,201,+8,782,7142,104,186,5,83577,1911,Europe
Serbia,7779,+296,151,+7,1152,6476,91,890,17,59938,6860,Europe
Norway,7493,+30,201,+2,32,7260,50,1382,37,155125,28614,Europe
Czechia,7352,+79,218,+4,2453,4681,71,687,20,210705,19676,Europe
Philippines,7294,+102,494,+17,792,6008,1,67,5,81292,742,Asia
Australia,6695,+20,80,+1,5372,1243,43,263,3,494257,19383,Australia/Oceania
"Dominican Republic",5926,+177,273,+6,822,4831,136,546,25,21284,1962,"North America"
Malaysia,5742,+51,98,+2,3762,1882,36,177,3,126970,3923,Asia
Panama,5338,+172,154,+8,319,4865,87,1237,36,24304,5633,"North America"
Colombia,5142,+261,233,+8,1067,3842,117,101,5,78078,1534,"South America"
Bangladesh,4998,+309,140,+9,113,4745,1,30,0.9,43113,262,Asia
Finland,4475,+80,186,+9,2500,1789,60,808,34,77800,14041,Europe
"South Africa",4361,+141,86,+7,1473,2802,36,74,1,161004,2715,Africa
Egypt,4319,+227,307,+13,1114,2898,,42,3,90000,879,Africa
Morocco,3897,+139,159,+1,537,3201,1,106,4,25443,689,Africa
Argentina,3780,+173,185,+9,1030,2565,144,84,4,47406,1049,"South America"
Luxembourg,3711,+16,85,,3088,538,26,5928,136,38514,61526,Europe
Moldova,3304,+194,94,+10,825,2385,212,819,23,11763,2916,Europe
Algeria,3256,+129,419,+4,1479,1358,40,74,10,6500,148,Africa
Thailand,2907,+53,51,+1,2547,309,61,42,0.7,142589,2043,Asia
Kuwait,2892,+278,19,+4,656,2217,58,677,4,,,Asia
Kazakhstan,2601,+185,25,,646,1930,31,139,1,180502,9613,Asia
Bahrain,2588,+70,8,,1160,1420,2,1521,5,110379,64869,Asia
Greece,2506,+16,130,,577,1799,47,240,12,63087,6053,Europe
