"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
"North America",945656,"+32,745",53465,"+2,377",104569,787622,16257,,,,,"North America"
Europe,1191842,"+27,491",114087,"+2,885",376038,701717,26669,,,,,Europe
Asia,434858,"+12,571",16183,+329,204955,213720,6012,,,,,Asia
"South America",103178,"+6,517",5067,+492,43653,54458,9511,,,,,"South America"
Oceania,8213,+15,91,+3,6171,1951,49,,,,,Australia/Oceania
Africa,27957,"+1,301",1290,+46,8450,18217,173,,,,,Africa
,721,,15,,645,61,4,,,,,
World,2712425,"+80,640",190198,"+6,132",744481,1777746,58675,348,24.4,,,All
USA,878006,"+29,289",49737,"+2,078",85162,743107,14994,2653,150,4507860,13619,"North America"
Spain,213024,"+4,635",22157,+440,89250,101617,7705,4556,474,930230,19896,Europe
Italy,189973,"+2,646",25549,+464,57576,106848,2267,3142,423,1579909,26131,Europe
France,158183,"+2,239",21856,+516,42088,94239,5053,2423,335,463662,7103,Europe
Germany,151784,"+1,136",5404,+89,103300,43080,2908,1812,64,2072669,24738,Europe
UK,138078,"+4,583",18738,+638,N/A,118996,1559,2034,276,583496,8595,Europe
Turkey,101790,"+3,116",2491,+115,18491,80808,1816,1207,30,791906,9390,Asia
Iran,87026,"+1,030",5481,+90,64843,16702,3105,1036,65,389507,4637,Asia
Russia,62773,"+4,774",555,+42,4891,57327,2300,430,4,2401616,16457,Europe
Brazil,49492,"+3,735",3313,+407,26573,19606,8318,233,16,291922,1373,"South America"
Belgium,42797,+908,6490,+228,9800,26507,993,3693,560,179666,15502,Europe
Canada,42081,"+1,891",2143,+169,14748,25190,557,1115,57,620101,16430,"North America"
Netherlands,35729,+887,4177,+123,N/A,31302,1008,2085,244,187000,10913,Europe
Switzerland,28496,+228,1549,+40,20600,6347,386,3293,179,227554,26293,Europe
India,23039,"+1,669",721,+40,5012,17306,,17,0.5,500542,363,Asia
Portugal,22353,+371,820,+35,1201,20332,204,2192,80,300525,29473,Europe
Peru,20914,"+1,664",572,+42,7422,12920,396,634,17,185238,5618,"South America"
Ireland,17607,+936,794,+25,9233,7580,147,3566,161,111584,22598,Europe
Sweden,16755,+751,2021,+84,550,14184,533,1659,200,94500,9357,Europe
Austria,15002,+77,522,+12,11694,2786,169,1666,58,205835,22854,Europe
Israel,14803,+305,192,+3,5611,9000,139,1710,22,240303,27763,Asia
"Saudi Arabia",13930,"+1,158",121,+7,1925,11884,93,400,3,200000,5745,Asia
Japan,11950,,299,,1424,10227,241,94,2,130587,1033,Asia
Chile,11812,+516,168,+8,5804,5840,411,618,9,135147,7070,"South America"
Ecuador,11183,+333,560,+23,1328,9295,141,634,32,34840,1975,"South America"
Singapore,11178,"+1,037",12,,924,10242,26,1911,2,94796,16203,Asia
Pakistan,11057,+981,235,+23,2337,8485,60,50,1,124549,564,Asia
"S. Korea",10702,+8,240,+2,8411,2051,55,209,5,583971,11390,Asia
Mexico,10544,"+1,043",970,+113,2627,6947,378,82,8,49570,384,"North America"
Poland,10511,+342,454,+28,1740,8317,160,278,12,250719,6625,Europe
