"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","1st
case"
Honduras,110,+15,3,+2,3,104,4,11,0.3,2020/03/10
Palestine,109,+5,1,,18,90,,21,0.2,2020/03/04
"Channel Islands",108,+11,2,+1,,106,,621,12,2020/03/08
Mauritius,107,+5,3,+1,,104,1,84,2,2020/03/17
Guadeloupe,106,+4,4,+2,17,85,10,265,10,2020/03/12
Cambodia,103,+4,,,21,82,1,6,,2020/01/26
Belarus,94,,,,32,62,2,10,,2020/02/27
Martinique,93,,1,,,92,12,248,3,2020/03/04
Georgia,91,+1,,,18,73,1,23,,2020/02/25
Montenegro,85,+1,1,,,84,1,135,2,2020/03/16
Kyrgyzstan,84,+26,,,,84,,13,,2020/03/17
DRC,81,+16,8,+2,2,71,,0.9,0.09,2020/03/09
Bolivia,81,+7,1,+1,,80,3,7,0.09,2020/03/09
"Trinidad and Tobago",78,+2,3,,1,74,,56,2,2020/03/11
Rwanda,70,+10,,,,70,,5,,2020/03/13
Gibraltar,65,+9,,,14,51,,1929,,2020/03/02
Mayotte,63,,,,,63,,231,,2020/03/13
Paraguay,59,+3,3,,1,55,3,8,0.4,2020/03/06
Liechtenstein,56,,,,,56,,1469,,2020/03/02
Aruba,50,+4,,,1,49,,468,,2020/03/12
Bangladesh,48,,5,,15,28,1,0.3,0.03,2020/03/07
Monaco,46,+3,1,,1,44,,1172,25,2020/02/27
"French Guiana",43,+15,,,6,37,,144,,2020/03/06
Kenya,42,+4,1,,1,40,2,0.8,0.02,2020/03/12
"Isle of Man",42,+10,,,,42,,494,,2020/03/18
Madagascar,39,+13,,,,39,,1,,2020/03/19
Macao,37,+3,,,10,27,,57,,2020/01/21
Guatemala,34,,1,,10,23,1,2,0.06,2020/03/12
Barbados,33,+7,,,,33,,115,,2020/03/16
Uganda,33,+3,,,,33,,0.7,,2020/03/20
Jamaica,32,+2,1,,2,29,,11,0.3,2020/03/09
"French Polynesia",30,,,,,30,,107,,2020/03/10
Zambia,29,+1,,,,29,,2,,2020/03/17
Togo,25,,1,,1,23,,3,0.1,2020/03/05
"El Salvador",24,+5,,,,24,,4,,2020/03/18
Bermuda,22,+5,,,2,20,,353,,2020/03/17
Ethiopia,21,+5,,,1,20,,0.2,,2020/03/12
Congo,19,+15,,,,19,,3,,2020/03/14
Mali,18,,1,,,17,,0.9,0.05,2020/03/24
Niger,18,+8,1,,,17,,0.7,0.04,2020/03/18
Djibouti,18,+4,,,,18,,18,,2020/03/17
Maldives,17,+1,,,13,4,,31,,2020/03/06
Guinea,16,+8,,,,16,,1,,2020/03/12
Haiti,15,+7,,,1,14,,1,,2020/03/19
"New Caledonia",15,,,,,15,,53,,2020/03/17
Bahamas,14,+4,,,1,13,,36,,2020/03/14
Tanzania,14,,,,1,13,,0.2,,2020/03/15
"Cayman Islands",12,+4,1,,,11,,183,15,2020/03/12
"Equatorial Guinea",12,,,,,12,,9,,2020/03/13
Eritrea,12,+6,,,,12,,3,,2020/03/20
Mongolia,12,,,,,12,,4,,2020/03/09
Dominica,11,,,,,11,,153,,2020/03/21
Namibia,11,+3,,,2,9,,4,,2020/03/13
"Saint Martin",11,,,,,11,,284,,2020/02/29
Greenland,10,,,,2,8,,176,,2020/03/15
Myanmar,10,+2,,,,10,,0.2,,2020/03/22
Syria,9,+4,1,+1,,8,,0.5,0.06,2020/03/21
Grenada,9,+2,,,,9,,80,,2020/03/21
"Saint Lucia",9,+6,,,1,8,,49,,2020/03/12
Eswatini,9,,,,,9,,8,,2020/03/13
Curaçao,8,,1,,2,5,,49,6,2020/03/12
Guyana,8,,1,,,7,,10,1,2020/03/11
Laos,8,,,,,8,,1,,2020/03/23
Libya,8,+5,,,,8,,1,,2020/03/23
Mozambique,8,,,,,8,,0.3,,2020/03/21
Seychelles,8,,,,,8,,81,,2020/03/13
Suriname,8,,,,,8,,14,,2020/03/12
Angola,7,+2,2,+2,,5,,0.2,0.06,2020/03/19
Gabon,7,,1,,,6,,3,0.4,2020/03/12
Zimbabwe,7,,1,,,6,,0.5,0.07,2020/03/19
"Antigua and Barbuda",7,,,,,7,,71,,2020/03/12
"Cabo Verde",6,,1,,,5,,11,2,2020/03/19
Sudan,6,+1,1,,,5,,0.1,0.02,2020/03/12
Benin,6,,,,,6,,0.5,,2020/03/15
"Vatican City",6,,,,,6,,7491,,2020/03/05
"Sint Maarten",6,,,,,6,,140,,2020/03/17
Nepal,5,,,,1,4,,0.2,,2020/01/23
Fiji,5,,,,,5,,6,,2020/03/18
Mauritania,5,,,,2,3,,1,,2020/03/12
Montserrat,5,,,,,5,,1002,,2020/03/17
"St. Barth",5,,,,,5,,506,,2020/02/29
Gambia,4,+1,1,,,3,,2,0.4,2020/03/16
Nicaragua,4,,1,,,3,,0.6,0.2,2020/03/18
Bhutan,4,+1,,,,4,,5,,2020/03/05
"Turks and Caicos",4,,,,,4,,103,,2020/03/22
CAR,3,,,,,3,,0.6,,2020/03/14
Chad,3,,,,,3,,0.2,,2020/03/18
Liberia,3,,,,,3,,0.6,,2020/03/15
Somalia,3,,,,,3,,0.2,,2020/03/15
"MS Zaandam",2,,,,,2,,,,2020/03/26
Anguilla,2,,,,,2,,133,,2020/03/25
Belize,2,,,,,2,,5,,2020/03/22
"British Virgin Islands",2,,,,,2,,66,,2020/03/24
Guinea-Bissau,2,,,,,2,,1,,2020/03/24
"Saint Kitts and Nevis",2,,,,,2,,38,,2020/03/24
"Papua New Guinea",1,,,,,1,,0.1,,2020/03/19
"St. Vincent Grenadines",1,,,,1,0,,9,,2020/03/10
Timor-Leste,1,,,,,1,,0.8,,2020/03/20
China,81439,,3300,,75448,2691,742,57,2,2020/01/10
*Total:*,721293,"+58,166",33944,"+3,083",151004,536345,26789,92.5,4.4,
