"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop"
China,81054,,3261,,72440,5353,1845,56
Italy,59138,"+5,560",5476,+651,7024,46638,3000,978
USA,32783,"+8,576",416,+114,178,32189,795,99
Spain,28603,"+3,107",1756,+375,2125,24722,1785,612
Germany,24873,"+2,509",94,+10,266,24513,23,297
Iran,21638,"+1,028",1685,+129,7635,12318,,258
France,16018,"+1,559",674,+112,2200,13144,1746,245
"S. Korea",8897,+98,104,+2,2909,5884,59,174
Switzerland,7474,+611,98,+18,131,7245,141,864
UK,5683,+665,281,+48,93,5309,20,84
Netherlands,4204,+573,179,+43,2,4023,354,245
Austria,3580,+588,16,+8,9,3555,15,397
Belgium,3401,+586,75,+8,263,3063,288,293
Norway,2263,+99,7,,6,2250,28,417
Sweden,1931,+161,21,+1,16,1894,68,191
Portugal,1600,+320,14,+2,5,1581,26,157
Brazil,1546,+368,25,+7,2,1519,18,7
Canada,1470,+142,20,+1,14,1436,1,39
Denmark,1395,+69,13,,1,1381,42,241
Australia,1353,+281,7,,88,1258,2,53
Malaysia,1306,+123,10,+2,139,1157,26,40
Turkey,1236,+289,30,+9,,1206,,15
Czechia,1120,+125,1,+1,6,1113,19,105
Japan,1086,+32,36,,235,815,57,9
Israel,1071,+188,1,,37,1033,18,124
Ireland,906,+121,4,+1,5,897,29,183
Luxembourg,798,+128,8,,6,784,3,1275
Ecuador,789,+257,14,+7,3,772,2,45
Pakistan,776,+131,4,+1,13,759,,4
"Diamond Princess",712,,8,,567,137,15,
Poland,634,+98,7,+2,13,614,3,17
Chile,632,+95,1,,8,623,7,33
Finland,626,+103,1,,10,615,12,113
Greece,624,+94,15,+2,19,590,18,60
Thailand,599,+188,1,,44,554,7,9
Iceland,568,+95,1,,5,562,1,1665
Indonesia,514,+64,48,+10,29,437,,2
"Saudi Arabia",511,+119,,,17,494,,15
Qatar,494,+13,,,33,461,6,171
Singapore,455,+23,2,,144,309,14,78
Romania,433,+66,3,+3,64,366,14,23
Slovenia,414,+31,2,+1,,412,12,199
India,396,+64,7,+2,24,365,,0.3
Philippines,380,+73,25,+6,15,340,1,3
Russia,367,+61,1,,16,350,,3
Peru,363,+45,5,,1,357,5,11
Bahrain,334,+24,2,+1,149,183,3,196
Egypt,327,+33,14,+4,56,257,,3
Estonia,326,+20,,,4,322,2,246
"Hong Kong",317,+43,4,,100,213,4,42
Panama,313,+68,3,,1,309,7,73
"South Africa",274,+34,,,2,272,,5
Argentina,266,+108,4,,27,235,,6
Croatia,254,+48,1,,5,248,5,62
Mexico,251,+48,2,,4,245,1,2
Lebanon,248,+18,4,,8,236,4,36
Iraq,233,+19,20,+3,57,156,,6
Colombia,231,+35,2,+2,3,226,,5
Serbia,222,+51,2,+1,2,218,4,25
"Dominican Republic",202,+90,3,,,199,,19
Algeria,201,+62,17,+2,65,119,,5
Armenia,194,+34,,,2,192,6,65
Kuwait,188,+12,,,30,158,5,44
Bulgaria,187,+24,3,,3,181,3,27
Slovakia,185,+7,,,7,178,2,34
"San Marino",175,+15,20,,4,151,13,5158
Taiwan,169,+16,2,,28,139,,7
Uruguay,158,+48,,,,158,2,45
UAE,153,,2,,38,113,2,15
Lithuania,143,+44,1,,1,141,1,53
Latvia,139,+15,,,1,138,,74
"Costa Rica",134,+17,2,,2,130,2,26
Hungary,131,+28,6,+2,16,109,6,14
"Bosnia and Herzegovina",126,+33,1,,2,123,1,38
Morocco,115,+19,4,+1,3,108,1,3
"North Macedonia",115,+30,1,+1,1,113,1,55
"Faeroe Islands",115,+23,,,3,112,,2354
Andorra,113,+25,1,+1,1,111,2,1462
Vietnam,113,+19,,,17,96,2,1
Jordan,112,+12,,,1,111,,11
"New Zealand",102,+50,,,,102,,21
Cyprus,95,+11,1,,3,91,3,79
Moldova,94,+14,1,,1,92,3,23
Malta,90,+17,,,2,88,1,204
Albania,89,+13,2,,2,85,2,31
