"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
"North America",535845,"+35,625",19774,"+2,117",34377,481694,11905,,,,,"North America"
Europe,820109,"+41,257",70094,"+4,276",196782,553233,30232,,,,,Europe
Asia,274564,"+10,625",10221,+324,133960,130383,6575,,,,,Asia
"South America",44976,"+5,371",1809,+194,4619,38548,876,,,,,"South America"
Oceania,7608,+131,56,+4,3515,4037,79,,,,,Australia/Oceania
Africa,13531,+651,697,+65,2234,10600,153,,,,,Africa
,721,,13,,619,89,10,,,,,
World,1697354,"+93,660",102664,"+6,980",376106,1218584,49830,218,13.2,,,All
USA,501880,"+33,314",18699,"+2,017",27239,455942,10916,1516,56,2538789,7670,"North America"
Spain,158273,"+5,051",16081,+634,55668,86524,7371,3385,344,355000,7593,Europe
Italy,147577,"+3,951",18849,+570,30455,98273,3497,2441,312,906864,14999,Europe
France,124869,"+7,120",13197,+987,24932,86740,7004,1913,202,333807,5114,Europe
Germany,122171,"+3,936",2767,+160,53913,65491,4895,1458,33,1317887,15730,Europe
UK,73758,"+8,681",8958,+980,344,64456,1559,1086,132,316836,4667,Europe
Iran,68192,"+1,972",4232,+122,35465,28495,3969,812,50,242568,2888,Asia
Turkey,47029,"+4,747",1006,+98,2423,43600,1667,558,12,307210,3643,Asia
Belgium,26667,"+1,684",3019,+496,5568,18080,1278,2301,260,84248,7269,Europe
Switzerland,24551,+500,1002,+54,11100,12449,386,2837,116,178500,20625,Europe
Netherlands,23097,"+1,335",2511,+115,250,20336,1424,1348,147,101534,5926,Europe
Canada,22148,"+1,383",569,+60,6013,15566,557,587,15,370315,9812,"North America"
Brazil,19789,"+1,644",1068,+114,173,18548,296,93,5,62985,296,"South America"
Portugal,15472,"+1,516",435,+26,233,14804,226,1517,43,140863,13815,Europe
Austria,13560,+316,319,+24,6064,7177,261,1506,35,134743,14961,Europe
Russia,11917,"+1,786",94,+18,795,11028,8,82,0.6,1090000,7469,Europe
"S. Korea",10450,+27,208,+4,7117,3125,55,204,4,503051,9812,Asia
Israel,10408,+440,95,+9,1183,9130,124,1202,11,117339,13557,Asia
Sweden,9685,+544,870,+77,381,8434,749,959,86,54700,5416,Europe
Ireland,8089,"+1,515",287,+24,25,7777,194,1638,58,53000,10734,Europe
India,7598,+873,246,+19,774,6578,,6,0.2,189111,137,Asia
Ecuador,7161,"+2,196",297,+25,368,6496,171,406,17,21568,1222,"South America"
Chile,6501,+529,65,+8,1571,4865,70,340,3,72797,3808,"South America"
Norway,6314,+95,113,+5,32,6169,70,1165,21,123170,22720,Europe
Australia,6238,+86,54,+3,3141,3043,74,245,2,338346,13269,Australia/Oceania
Poland,5955,+380,181,+7,318,5456,160,157,5,118295,3126,Europe
Peru,5897,+641,169,+31,1569,4159,130,179,5,56681,1719,"South America"
Denmark,5819,+184,247,+10,1773,3799,113,1005,43,64731,11176,Europe
Czechia,5732,+163,119,+7,346,5267,98,535,11,114854,10725,Europe
Japan,5530,+183,99,,685,4746,109,44,0.8,64387,509,Asia
Romania,5467,+265,270,+22,729,4468,183,284,14,55430,2881,Europe
Pakistan,4695,+206,66,+1,727,3902,45,21,0.3,54706,248,Asia
Malaysia,4346,+118,70,+3,1830,2446,69,134,2,69675,2153,Asia
Philippines,4195,+119,221,+18,140,3834,1,38,2,24500,224,Asia
"Saudi Arabia",3651,+364,47,+3,685,2919,57,105,1,115585,3320,Asia
Indonesia,3512,+219,306,+26,282,2924,,13,1,17679,65,Asia
Mexico,3441,+260,194,+20,633,2614,89,27,2,31492,244,"North America"
UAE,3360,+370,16,+2,418,2926,1,340,2,593095,59967,Asia
Luxembourg,3223,+108,54,+2,500,2669,30,5149,86,28273,45166,Europe
Serbia,3105,+238,71,+5,118,2916,136,355,8,14240,1630,Europe
Panama,2974,+222,74,+8,17,2883,104,689,17,11776,2729,"North America"
Finland,2769,+164,48,+6,300,2421,82,500,9,41200,7436,Europe
"Dominican Republic",2620,+271,126,+8,98,2396,147,242,12,7936,732,"North America"
Qatar,2512,+136,6,,227,2279,37,872,2,45339,15737,Asia
Colombia,2473,+250,80,+11,197,2196,85,49,2,37593,739,"South America"
Thailand,2473,+50,33,+1,1013,1427,61,35,0.5,71860,1030,Asia
Ukraine,2203,+311,69,+12,61,2073,33,50,2,23522,538,Europe
Singapore,2108,+198,7,+1,492,1609,29,360,1,72680,12423,Asia
Greece,2011,+56,92,+5,269,1650,77,193,9,35532,3409,Europe
"South Africa",2003,+69,24,+6,410,1569,7,34,0.4,73028,1231,Africa
Belarus,1981,+495,19,+3,169,1793,72,210,2,53000,5609,Europe
Argentina,1975,+81,82,+3,375,1518,96,44,2,16379,362,"South America"
Egypt,1794,+95,135,+17,384,1275,,18,1,25000,244,Africa
Algeria,1761,+95,256,+21,405,1100,46,40,6,3359,77,Africa
Iceland,1675,+27,7,+1,751,917,11,4909,21,34125,100002,Europe
Croatia,1495,+88,21,+1,231,1243,34,364,5,14612,3559,Europe
Morocco,1448,+74,107,+10,122,1219,1,39,3,7239,196,Africa
Moldova,1438,+149,29,,56,1353,80,356,7,6271,1555,Europe
