"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop"
World,1344859,"+71,958",74635,"+5,208",278330,991894,47517,173,9.6,,
USA,366112,"+29,439",10859,"+1,243",19573,335680,8878,1106,33,1913468,5781
Spain,136675,"+5,029",13341,+700,40437,82897,6931,2923,285,355000,7593
Italy,132547,"+3,599",16523,+636,22837,93187,3898,2192,273,721732,11937
Germany,103374,"+3,251",1810,+226,28700,72864,4895,1234,22,918460,10962
France,98010,"+5,171",8911,+833,17250,71849,7072,1502,137,224254,3436
Iran,60500,"+2,274",3739,+136,24236,32525,4083,720,45,186000,2214
UK,51608,"+3,802",5373,+439,135,46100,1559,760,79,252958,3726
Turkey,30217,"+3,148",649,+75,1326,28242,1415,358,8,202845,2405
Switzerland,21657,+557,765,+50,8056,12836,391,2502,88,162500,18776
Belgium,20814,"+1,123",1632,+185,3986,15196,1257,1796,141,70000,6040
Netherlands,18803,+952,1867,+101,250,16686,1409,1097,109,86589,5053
Canada,16667,"+1,155",323,+43,3616,12728,426,442,9,330901,8767
Austria,12297,+246,220,+16,3463,8614,250,1365,24,111296,12357
Brazil,12183,+929,564,+78,127,11492,296,57,3,54824,258
Portugal,11730,+452,311,+16,140,11279,270,1150,31,110000,10788
"S. Korea",10284,+47,186,+3,6598,3500,55,201,4,461233,8996
Israel,8904,+474,57,+8,585,8262,140,1029,7,109724,12677
Sweden,7206,+376,477,+76,205,6524,590,714,47,36900,3654
Russia,6343,+954,47,+2,406,5890,8,43,0.3,758000,5194
Australia,5895,+145,45,+8,2432,3418,96,231,2,303536,11903
Norway,5865,+178,76,+5,32,5757,83,1082,14,111299,20530
Ireland,5364,+370,174,+16,25,5165,165,1086,35,30213,6119
Czechia,4822,+235,78,+11,121,4623,84,450,7,85014,7939
Chile,4815,+344,37,+3,728,4050,327,252,2,54864,2870
India,4778,+489,136,+18,375,4267,,3,0.1,140293,102
Denmark,4681,+312,187,+8,1378,3116,144,808,32,52936,9139
Poland,4413,+311,107,+13,162,4144,50,117,3,85467,2258
Romania,4057,+193,176,+25,406,3475,179,211,9,40987,2131
Malaysia,3793,+131,62,+1,1241,2490,102,117,2,55566,1717
Pakistan,3766,+609,53,+6,259,3454,17,17,0.2,35875,162
Ecuador,3747,+101,191,+11,100,3456,156,212,11,13039,739
Philippines,3660,+414,163,+11,73,3424,1,33,1,22958,210
Japan,3654,,85,,575,2994,69,29,0.7,46172,365
Luxembourg,2843,+39,41,+5,500,2302,33,4542,65,24291,38805
"Saudi Arabia",2605,+203,38,+4,551,2016,41,75,1,,
Peru,2561,+280,92,+9,997,1472,89,78,3,20414,619
Indonesia,2491,+218,209,+11,192,2090,,9,0.8,11460,42
Thailand,2220,+51,26,+3,793,1401,23,32,0.4,25071,359
Serbia,2200,+292,58,+7,118,2024,101,252,7,8552,979
Finland,2176,+249,27,,300,1849,81,393,5,32800,5920
Mexico,2143,+253,94,+15,633,1416,293,17,0.7,18034,140
Panama,2100,+299,55,+9,14,2031,88,487,13,10297,2386
UAE,2076,+277,11,+1,167,1898,1,210,1,220000,22244
Qatar,1832,+228,4,,131,1697,37,636,1,38108,13227
"Dominican Republic",1828,+83,86,+4,33,1709,147,169,8,4542,419
Greece,1755,+20,79,+6,269,1407,90,168,8,26193,2513
"South Africa",1686,+31,12,+1,95,1579,7,28,0.2,58098,980
Argentina,1628,+74,53,+7,325,1250,94,36,1,10709,237
Colombia,1579,+94,46,+11,88,1445,50,31,0.9,27685,544
Iceland,1562,+76,6,+2,460,1096,11,4577,18,27880,81701
