"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
"North America",598238,"+29,289",23472,"+1,680",41823,532943,12761,,,,,"North America"
Europe,881110,"+28,211",76768,"+3,143",221548,582794,29929,,,,,Europe
Asia,298114,"+10,831",10987,+390,146486,140641,6597,,,,,Asia
"South America",50581,"+2,513",2081,+134,5681,42819,1206,,,,,"South America"
Oceania,7732,+30,63,+3,3810,3859,87,,,,,Australia/Oceania
Africa,15082,+862,791,+46,2922,11369,174,,,,,Africa
,721,,13,,619,89,10,,,,,
World,1851578,"+71,736",114175,"+5,396",422889,1314514,50764,238,14.6,,,All
USA,560246,"+27,367",22101,"+1,524",32237,505908,11766,1693,67,2832258,8557,"North America"
Spain,166831,"+3,804",17209,+603,62391,87231,7371,3568,368,355000,7593,Europe
Italy,156363,"+4,092",19899,+431,34211,102253,3343,2586,329,1010193,16708,Europe
France,132591,"+2,937",14393,+561,27186,91012,6845,2031,221,333807,5114,Europe
Germany,127854,"+2,402",3022,+151,60300,64532,4895,1526,36,1317887,15730,Europe
UK,84279,"+5,288",10612,+737,344,73323,1559,1241,156,352974,5200,Europe
Iran,71686,"+1,657",4474,+117,43894,23318,3930,853,53,263388,3136,Asia
Turkey,56956,"+4,789",1198,+97,3446,52312,1665,675,14,376100,4459,Asia
Belgium,29647,"+1,629",3600,+254,6463,19584,1223,2558,311,102151,8814,Europe
Netherlands,25587,"+1,174",2737,+94,250,22600,1384,1493,160,101534,5926,Europe
Switzerland,25415,+308,1106,+70,12700,11609,386,2937,128,193800,22393,Europe
Canada,24383,"+1,065",717,+64,7172,16494,557,646,19,404651,10721,"North America"
Brazil,22192,"+1,230",1223,+83,173,20796,296,104,6,62985,296,"South America"
Portugal,16585,+598,504,+34,277,15804,228,1627,49,163616,16046,Europe
Russia,15770,"+2,186",130,+24,1291,14349,8,108,0.9,1200000,8223,Europe
Austria,13945,+139,350,+13,6987,6608,243,1548,39,144877,16086,Europe
Israel,11145,+402,103,+2,1627,9415,183,1288,12,117339,13557,Asia
"S. Korea",10512,+32,214,+3,7368,2930,55,205,4,514621,10038,Asia
