"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
"North America",1064472,"+29,458",59953,"+1,354",146042,858477,16402,,,,,"North America"
Europe,1276808,"+24,311",121885,"+1,767",436194,718729,25260,,,,,Europe
Asia,472267,"+11,603",17244,+293,228083,226940,6050,,,,,Asia
"South America",137848,"+6,699",6286,+282,49653,81909,9699,,,,,"South America"
Oceania,8287,+30,101,+3,6772,1414,45,,,,,Australia/Oceania
Africa,32657,"+1,555",1426,+47,10018,21213,140,,,,,Africa
,721,,15,,645,61,4,,,,,
World,2993060,"+73,656",206910,"+3,746",877407,1908743,57600,384,26.5,,,All
USA,987029,"+26,378",55411,"+1,155",118777,812841,15143,2982,167,5470382,16527,"North America"
Spain,226629,"+2,870",23190,+288,117727,85712,7764,4847,496,1199548,25656,Europe
Italy,197675,"+2,324",26644,+260,64928,106103,2009,3269,441,1757659,29071,Europe
France,162100,+612,22856,+242,44903,94341,4682,2483,350,463662,7103,Europe
Germany,157770,"+1,257",5976,+99,112000,39794,2570,1883,71,2072669,24738,Europe
UK,152840,"+4,463",20732,+413,N/A,131764,1559,2251,305,669850,9867,Europe
Turkey,110130,"+2,357",2805,+99,29140,78185,1776,1306,33,898742,10656,Asia
Iran,90481,"+1,153",5710,+60,69657,15114,3079,1077,68,421313,5016,Asia
Russia,80949,"+6,361",747,+66,6767,73435,2300,555,5,2877699,19719,Europe
Brazil,62787,"+3,591",4268,+223,30152,28367,8318,295,20,291922,1373,"South America"
Canada,46895,"+1,541",2560,+95,17321,27014,557,1243,68,684271,18130,"North America"
Belgium,46134,+809,7094,+177,10785,28255,891,3981,612,189067,16313,Europe
Netherlands,37845,+655,4475,+66,N/A,33120,934,2209,261,193950,11319,Europe
Switzerland,29061,+167,1610,+11,21800,5651,204,3358,186,245300,28343,Europe
India,27890,"+1,607",882,+57,6523,20485,,20,0.6,625309,453,Asia
Peru,27517,"+2,186",728,+28,8088,18701,554,835,22,232747,7059,"South America"
Portugal,23864,+472,903,+23,1329,21632,182,2340,89,330512,32414,Europe
Ecuador,22719,,576,,1366,20777,127,1288,33,56513,3203,"South America"
Ireland,19262,+701,1087,+24,9233,8942,142,3901,220,127319,25785,Europe
Sweden,18640,+463,2194,+2,1005,15441,399,1846,217,94500,9357,Europe
"Saudi Arabia",17522,"+1,223",139,+3,2357,15026,115,503,4,200000,5745,Asia
Israel,15443,+145,201,+2,6731,8511,133,1784,23,302691,34971,Asia
Austria,15225,+77,542,+6,12282,2401,145,1690,60,227631,25274,Europe
Mexico,13842,+970,1305,+84,7149,5388,378,107,10,65500,508,"North America"
Singapore,13624,+931,12,,1060,12552,22,2329,2,121774,20815,Asia
Japan,13441,+210,372,+12,1809,11260,296,106,3,149074,1179,Asia
Chile,13331,+473,189,+8,7024,6118,418,697,10,155975,8159,"South America"
Pakistan,13328,+605,281,+12,2936,10111,111,60,1,144365,654,Asia
Poland,11617,+344,535,+11,2265,8817,160,307,14,290633,7679,Europe
Romania,11036,+401,619,+18,3054,7363,236,574,32,136518,7096,Europe
"S. Korea",10728,+10,242,+2,8717,1769,55,209,5,598285,11669,Asia
Belarus,10463,+873,72,+5,1695,8696,92,1107,8,147525,15612,Europe
UAE,10349,+536,76,+5,1978,8295,1,1046,8,1057326,106904,Asia
Qatar,10287,+929,10,,1012,9265,72,3571,3,82289,28562,Asia
Indonesia,8882,+275,743,+23,1107,7032,,32,3,72099,264,Asia
Ukraine,8617,+492,209,+8,840,7568,107,197,5,89373,2044,Europe
Denmark,8575,+130,422,+4,5805,2348,70,1480,73,146915,25364,Europe
Serbia,8042,+263,156,+5,1182,6704,85,920,18,64303,7360,Europe
Philippines,7579,+285,501,+7,862,6216,1,69,5,84789,774,Asia
Norway,7527,+34,201,,32,7294,49,1388,37,155125,28614,Europe
Czechia,7404,+52,220,+2,2545,4639,79,691,21,215116,20087,Europe
Australia,6716,+21,83,+3,5560,1073,42,263,3,510974,20038,Australia/Oceania
"Dominican Republic",6135,+209,278,+5,910,4947,144,566,26,22498,2074,"North America"
Malaysia,5780,+38,98,,3862,1820,36,179,3,131491,4063,Asia
Panama,5538,+200,159,+5,338,5041,85,1283,37,25400,5887,"North America"
Bangladesh,5416,+418,145,+5,122,5149,1,33,0.9,46589,283,Asia
Colombia,5379,+237,244,+11,1133,4002,117,106,5,87199,1714,"South America"
Finland,4576,+101,190,+4,2500,1886,62,826,34,80300,14493,Europe
"South Africa",4546,+185,87,+1,1473,2986,36,77,1,168643,2843,Africa
Egypt,4534,+215,317,+10,1176,3041,,44,3,90000,879,Africa
Morocco,4065,+168,161,+2,593,3311,1,110,4,27399,742,Africa
Argentina,3892,+112,192,+7,1107,2593,144,86,4,49905,1104,"South America"
Luxembourg,3723,+12,88,+3,3104,531,22,5947,141,39003,62307,Europe
Moldova,3408,+104,96,+2,895,2417,212,845,24,11763,2916,Europe
Algeria,3382,+126,425,+6,1508,1449,40,77,10,6500,148,Africa
Kuwait,3075,+183,20,+1,806,2249,61,720,5,,,Asia
Thailand,2922,+15,51,,2594,277,61,42,0.7,142589,2043,Asia
Kazakhstan,2717,+116,25,,682,2010,31,145,1,196298,10454,Asia
Bahrain,2647,+59,8,,1189,1450,2,1556,5,114110,67061,Asia
Greece,2517,+11,134,+4,577,1806,46,241,13,64608,6199,Europe
Hungary,2500,+57,272,+10,485,1743,61,259,28,63505,6574,Europe
Croatia,2030,+14,55,+1,1103,872,23,494,13,31622,7703,Europe
Oman,1998,+93,10,,333,1655,3,391,2,,,Asia
Uzbekistan,1869,+7,8,,789,1072,8,56,0.2,242536,7247,Asia
Iraq,1820,+57,87,+1,1263,470,,45,2,71471,1777,Asia
Iceland,1792,+2,10,,1608,174,3,5251,29,46352,135833,Europe
Armenia,1746,+69,28,,833,885,10,589,9,17931,6051,Asia
Azerbaijan,1645,+28,21,,1139,485,15,162,2,120479,11883,Asia
Estonia,1643,+8,49,+3,233,1361,6,1239,37,47933,36134,Europe
Cameroon,1621,+103,56,+3,786,779,12,61,2,,,Africa
Ghana,1550,+271,11,+1,155,1384,4,50,0.4,100622,3238,Africa
Afghanistan,1531,+68,50,+3,207,1274,7,39,1,8090,208,Asia
"Bosnia and Herzegovina",1516,+30,59,+2,624,833,4,462,18,25830,7873,Europe
"New Zealand",1470,+9,18,,1142,310,1,305,4,120981,25088,Australia/Oceania
Lithuania,1438,+12,41,,467,930,17,528,15,104488,38382,Europe
Slovenia,1396,+8,82,+1,221,1093,23,671,39,48973,23557,Europe
"North Macedonia",1386,+19,61,+2,500,825,13,665,29,15120,7257,Europe
Slovakia,1379,+6,18,+1,394,967,5,253,3,70928,12991,Europe
Cuba,1369,+32,54,+3,501,814,11,121,5,39828,3516,"North America"
