"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
"North America",790535,"+30,780",41497,"+2,075",82220,666818,14659,,,,,"North America"
Europe,1059814,"+30,600",99813,"+3,585",298699,661302,26386,,,,,Europe
Asia,370141,"+11,957",14401,+335,176091,179649,6426,,,,,Asia
"South America",77973,"+5,442",3653,+335,27692,46628,7532,,,,,"South America"
Oceania,8105,+66,81,+5,5050,2974,60,,,,,Australia/Oceania
Africa,21741,"+1,322",1082,+62,5470,15189,195,,,,,Africa
,721,,15,,644,62,7,,,,,
World,2329030,"+80,167",160542,"+6,397",595866,1572622,55265,299,20.6,,,All
USA,737921,"+28,186",38974,"+1,820",67653,631294,13551,2229,118,3718066,11233,"North America"
Spain,194416,"+3,577",20639,+637,74797,98980,7371,4158,441,930230,19896,Europe
Italy,175925,"+3,491",23227,+482,44927,107771,2733,2910,384,1305833,21598,Europe
France,151793,"+3,824",19323,+642,35983,96487,5833,2325,296,463662,7103,Europe
Germany,143475,"+2,078",4477,+125,85400,53598,2922,1712,53,1728357,20629,Europe
UK,114217,"+5,525",15464,+888,N/A,98409,1559,1682,228,460437,6783,Europe
Turkey,82329,"+3,783",1890,+121,10453,69986,1894,976,22,598933,7101,Asia
Iran,80868,"+1,374",5031,+73,55987,19850,3513,963,60,330137,3931,Asia
Belgium,37183,"+1,045",5453,+290,8348,23382,1119,3208,471,145997,12597,Europe
Russia,36793,"+4,785",313,+40,3057,33423,8,252,2,1831892,12553,Europe
Brazil,36722,"+3,040",2361,+220,14026,20335,6634,173,11,62985,296,"South America"
Canada,33383,"+1,456",1470,+160,11207,20706,557,885,39,516216,13677,"North America"
Netherlands,31589,"+1,140",3601,+142,250,27738,1279,1844,210,154911,9041,Europe
Switzerland,27404,+326,1368,+41,17100,8936,386,3166,158,216400,25004,Europe
Portugal,19685,+663,687,+30,610,18388,228,1931,67,235878,23133,Europe
India,15722,"+1,370",521,+35,2463,12738,,11,0.4,335123,243,Asia
Ireland,14758,+778,571,+41,77,14110,294,2989,116,90646,18358,Europe
Austria,14671,+76,443,+12,10214,4014,208,1629,49,175932,19534,Europe
Peru,14420,+931,348,+48,6684,7388,117,437,11,135895,4122,"South America"
Sweden,13822,+606,1511,+111,550,11761,1054,1369,150,74600,7387,Europe
Israel,13265,+283,164,+13,3456,9645,164,1533,19,187250,21634,Asia
"S. Korea",10653,+18,232,+2,7937,2484,55,208,5,546463,10659,Asia
Japan,10296,+509,222,+32,1069,9005,221,81,2,111325,880,Asia
Chile,9730,+478,126,+10,4035,5569,360,509,7,108891,5696,"South America"
Ecuador,9022,+572,456,+35,1008,7558,168,511,26,30922,1753,"South America"
Poland,8742,+363,347,+15,981,7414,160,231,9,192960,5098,Europe
Romania,8418,+351,421,+10,1730,6267,248,438,22,90991,4730,Europe
"Saudi Arabia",8274,"+1,132",92,+5,1329,6853,78,238,3,150000,4309,Asia
Pakistan,7638,+613,143,+8,1832,5663,46,35,0.6,92548,419,Asia
Denmark,7242,+169,346,+10,3847,3049,76,1250,60,91437,15786,Europe
Norway,7036,+99,164,+3,32,6840,63,1298,30,139668,25763,Europe
Mexico,6875,+578,546,+60,2125,4204,207,53,4,48365,375,"North America"
Czechia,6606,+57,181,+8,1227,5198,86,617,17,162533,15177,Europe
Australia,6586,+53,70,+5,4167,2349,55,258,3,406510,15942,Australia/Oceania
UAE,6302,,37,,1188,5077,1,637,4,767000,77550,Asia
Indonesia,6248,+325,535,+15,631,5082,,23,2,39422,144,Asia
Philippines,6087,+209,397,+10,516,5174,1,56,4,56048,511,Asia
Serbia,5994,+304,117,+7,637,5240,126,686,13,36028,4123,Europe
Singapore,5992,+942,11,,740,5241,23,1024,2,94796,16203,Asia
Malaysia,5305,+54,88,+2,3102,2115,49,164,3,100794,3114,Asia
Ukraine,5106,+444,133,+8,275,4698,45,117,3,52534,1201,Europe
Qatar,5008,+345,8,+1,510,4490,37,1738,3,60139,20874,Asia
Belarus,4779,,45,+3,342,4392,65,506,5,86813,9187,Europe
"Dominican Republic",4335,+209,217,+17,312,3806,146,400,20,14373,1325,"North America"
Panama,4210,+194,116,+7,122,3972,96,976,27,18559,4301,"North America"
Finland,3681,+192,90,+8,1700,1891,70,664,16,55600,10035,Europe
Colombia,3621,+182,166,+13,691,2764,98,71,3,59002,1160,"South America"
Luxembourg,3537,+57,72,,601,2864,32,5650,115,33252,53120,Europe
"South Africa",3034,+251,52,+2,903,2079,36,51,0.9,108021,1821,Africa
Egypt,3032,+188,224,+19,701,2107,,30,2,55000,537,Africa
Argentina,2839,+170,132,+9,685,2022,127,63,3,30942,685,"South America"
Thailand,2733,+33,47,,1787,899,61,39,0.7,100498,1440,Asia
Morocco,2685,+121,137,+2,314,2234,1,73,4,13689,371,Africa
Algeria,2534,+116,367,+3,894,1273,60,58,8,3359,77,Africa
Moldova,2378,+114,57,+1,391,1930,80,589,14,9848,2441,Europe
Greece,2235,+11,110,+2,269,1856,67,214,11,53290,5113,Europe
Bangladesh,2144,+306,84,+9,66,1994,1,13,0.5,21307,129,Asia
Hungary,1834,+71,172,+16,231,1431,60,190,18,43901,4544,Europe
Croatia,1832,+18,39,+3,615,1178,27,446,9,21647,5273,Europe
Bahrain,1773,+33,7,,755,1011,3,1042,4,82568,48524,Asia
Iceland,1760,+6,9,,1291,460,3,5158,26,41091,120416,Europe
Kuwait,1751,+93,6,+1,280,1465,34,410,1,,,Asia
Kazakhstan,1615,+69,17,,377,1221,22,86,0.9,100878,5373,Asia
Iraq,1513,+31,82,+1,953,478,,38,2,53955,1341,Asia
Estonia,1512,+53,38,,162,1312,11,1140,29,39605,29856,Europe
Uzbekistan,1490,+85,5,+1,194,1291,8,45,0.1,136000,4063,Asia
"New Zealand",1422,+13,11,,867,544,3,295,2,79078,16399,Australia/Oceania
Azerbaijan,1373,+33,18,+3,590,765,21,135,2,86607,8542,Asia
Slovenia,1317,+13,70,+4,190,1057,27,633,34,40580,19520,Europe
"Bosnia and Herzegovina",1268,+54,47,+1,338,883,4,386,14,16868,5141,Europe
Armenia,1248,+47,20,+1,523,705,30,421,7,11796,3981,Asia
Lithuania,1239,+90,33,,228,978,14,455,12,58816,21605,Europe
Oman,1180,+111,6,,176,998,3,231,1,,,Asia
"North Macedonia",1170,+53,49,,164,957,15,562,24,11556,5547,Europe
Slovakia,1089,+40,11,+2,213,865,10,199,2,40953,7501,Europe
"Hong Kong",1024,+2,4,,568,452,9,137,0.5,131786,17579,Asia
Cameroon,1017,+21,42,+20,305,670,33,38,2,,,Africa
Cuba,986,+63,32,+1,227,727,15,87,3,25309,2234,"North America"
Afghanistan,933,+27,30,,112,791,,24,0.8,,,Asia
Bulgaria,878,+32,41,,153,684,35,126,6,26417,3802,Europe
Tunisia,866,+2,37,,43,786,33,73,3,14640,1239,Africa
Ghana,834,+193,9,+1,99,726,4,27,0.3,60916,1960,Africa
"Ivory Coast",801,+113,8,+2,239,554,,30,0.3,,,Africa
Cyprus,761,+11,12,,79,670,8,630,10,32284,26739,Asia
Djibouti,732,,2,,76,654,,741,2,7486,7577,Africa
"Diamond Princess",712,,13,,644,55,7,,,,,
Latvia,712,+30,5,,88,619,5,377,3,34697,18395,Europe
Andorra,704,+8,35,,205,464,17,9111,453,1673,21653,Europe
Lebanon,672,+4,21,,99,552,30,98,3,20225,2963,Asia
"Costa Rica",655,+6,4,,97,554,10,129,0.8,10138,1990,"North America"
Niger,639,+12,19,+1,113,507,,26,0.8,4715,195,Africa
"Burkina Faso",565,+8,36,+1,321,208,,27,2,,,Africa
Albania,548,+9,26,,302,220,5,190,9,5311,1846,Europe
Nigeria,542,+49,19,+2,166,357,2,3,0.09,7153,35,Africa
Guinea,518,+41,3,,65,450,,39,0.2,,,Africa
Uruguay,517,+15,9,,298,210,14,149,3,12478,3592,"South America"
Kyrgyzstan,506,+17,5,,130,371,5,78,0.8,26147,4008,Asia
Bolivia,493,+28,31,,31,431,3,42,3,3569,306,"South America"
"Channel Islands",484,+14,21,+1,73,390,,2784,121,3320,19095,Europe
Honduras,457,+15,46,+5,10,401,10,46,5,2396,242,"North America"
"San Marino",455,+20,39,,60,356,15,13410,1149,1605,47302,Europe
Malta,426,+4,3,,99,324,4,965,7,23253,52663,Europe
Palestine,418,+16,2,,69,347,,82,0.4,17329,3397,Asia
Jordan,413,+6,7,,269,137,5,40,0.7,20500,2009,Asia
Réunion,407,+5,,,237,170,4,455,,,,Africa
Taiwan,398,+3,6,,178,214,,17,0.3,52445,2202,Asia
Georgia,388,+18,4,+1,86,298,6,97,1,5027,1260,Asia
Senegal,350,+8,3,+1,211,136,1,21,0.2,,,Africa
Mauritius,325,+1,9,,180,136,3,256,7,9755,7670,Africa
DRC,307,+20,25,+2,26,256,,3,0.3,,,Africa
Montenegro,307,+4,5,,55,247,7,489,8,3874,6168,Europe
"Isle of Man",297,+6,6,+2,180,111,11,3493,71,2414,28389,Europe
Vietnam,268,,,,201,67,8,3,,206253,2119,Asia
Kenya,262,+16,12,+1,60,190,2,5,0.2,10784,201,Africa
"Sri Lanka",254,+10,7,,86,161,1,12,0.3,4768,223,Asia
Mayotte,254,+9,4,,117,133,6,931,15,1800,6598,Africa
Guatemala,235,+21,7,,21,207,3,13,0.4,7200,402,"North America"
Venezuela,227,+23,9,,117,101,4,8,0.3,299714,10540,"South America"
Mali,216,+45,13,,41,162,,11,0.6,,,Africa
Paraguay,202,+3,8,,35,159,1,28,1,4950,694,"South America"
"El Salvador",190,+13,7,,43,140,1,29,1,10191,1571,"North America"
