"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
"North America",985170,"+31,038",55627,"+1,658",112741,816802,16181,,,,,"North America"
Europe,1224804,"+31,528",117287,"+3,028",393186,714331,26300,,,,,Europe
Asia,447846,"+12,570",16586,+374,212545,218715,6067,,,,,Asia
"South America",119664,"+16,336",5519,+446,44378,69767,9603,,,,,"South America"
Oceania,8232,+13,96,+5,6294,1842,46,,,,,Australia/Oceania
Africa,29463,"+1,246",1327,+29,8914,19222,160,,,,,Africa
,721,,15,,645,61,4,,,,,
World,2815900,"+92,731",196457,"+5,540",778703,1840740,58361,361,25.2,,,All
USA,914410,"+27,968",51635,"+1,401",92312,770463,14932,2763,156,4975291,15031,"North America"
Spain,219764,"+6,740",22524,+367,92355,104885,7705,4700,482,930230,19896,Europe
Italy,192994,"+3,021",25969,+420,60498,106527,2173,3192,430,1642356,27164,Europe
France,159828,"+1,645",22245,+389,43493,94090,4870,2449,341,463662,7103,Europe
Germany,154545,"+1,416",5723,+148,106800,42022,2908,1845,68,2072669,24738,Europe
UK,143464,"+5,386",19506,+768,N/A,123614,1559,2113,287,612031,9016,Europe
Turkey,104912,"+3,122",2600,+109,21737,80575,1790,1244,31,830257,9844,Asia
Iran,88194,"+1,168",5574,+93,66599,16021,3121,1050,66,399927,4761,Asia
Russia,68622,"+5,849",615,+60,5568,62439,2300,470,4,2550000,17474,Europe
Brazil,52995,"+3,503",3670,+357,26573,22752,8318,249,17,291922,1373,"South America"
Belgium,44293,"+1,496",6679,+189,10122,27492,970,3822,576,189067,16313,Europe
Canada,43552,"+1,442",2294,+147,15469,25789,557,1154,61,643398,17047,"North America"
Netherlands,36535,+806,4289,+112,N/A,31996,963,2132,250,187000,10913,Europe
Switzerland,28677,+181,1589,+40,21000,6088,386,3313,184,235252,27182,Europe
India,24447,"+1,408",780,+59,5496,18171,,18,0.6,541789,393,Asia
Portugal,22797,+444,854,+34,1228,20715,188,2236,84,315758,30967,Europe
Ecuador,22719,"+11,536",576,+16,1366,20777,127,1288,33,56513,3203,"South America"
Peru,21648,+734,634,+62,7496,13518,505,657,19,198349,6016,"South America"
Ireland,18184,+577,1014,+220,9233,7937,142,3683,205,111584,22598,Europe
Sweden,17567,+812,2152,+131,550,14865,547,1739,213,94500,9357,Europe
"Saudi Arabia",15102,"+1,172",127,+6,2049,12926,93,434,4,200000,5745,Asia
Austria,15071,+69,530,+8,11872,2669,156,1673,59,212686,23615,Europe
Israel,15058,+255,194,+2,6003,8861,137,1740,22,287034,33162,Asia
Japan,12368,,328,,1494,10546,259,98,3,135983,1075,Asia
Chile,12306,+494,174,+6,6327,5805,408,644,9,142267,7442,"South America"
Singapore,12075,+897,12,,924,11139,26,2064,2,94796,16203,Asia
Pakistan,11940,+883,253,+18,2755,8932,111,54,1,131365,595,Asia
Mexico,11633,"+1,089",1069,+99,2627,7937,378,90,8,51297,398,"North America"
Poland,10892,+381,494,+40,1944,8454,160,288,13,265201,7007,Europe
"S. Korea",10708,+6,240,,8501,1967,55,209,5,589520,11499,Asia
Romania,10417,+321,567,+22,2817,7033,241,541,29,121602,6321,Europe
UAE,9281,+525,64,+8,1760,7457,1,938,6,790000,79875,Asia
Belarus,8773,+751,63,+3,1120,7590,92,928,7,130824,13845,Europe
Qatar,8525,+761,10,,809,7706,72,2959,3,75888,26340,Asia
Indonesia,8211,+436,689,+42,1002,6520,,30,3,64054,234,Asia
Denmark,8210,+137,403,+9,5526,2281,69,1417,70,125329,21638,Europe
Ukraine,7647,+477,193,+6,601,6853,45,175,4,77752,1778,Europe
Serbia,7483,+207,144,+5,1094,6245,96,856,16,54887,6282,Europe
Norway,7444,+43,199,+5,32,7213,53,1373,37,155125,28614,Europe
Czechia,7236,+49,214,+4,2371,4651,76,676,20,203622,19014,Europe
Philippines,7192,+211,477,+15,762,5953,1,66,4,76956,702,Asia
Australia,6675,+8,79,+4,5136,1460,43,262,3,482371,18917,Australia/Oceania
"Dominican Republic",5749,+206,267,+2,763,4719,135,530,25,18261,1683,"North America"
Malaysia,5691,+88,96,+1,3663,1932,41,176,3,121722,3761,Asia
Panama,5166,+174,146,+2,271,4749,86,1197,34,23534,5454,"North America"
Bangladesh,4689,+503,131,+4,112,4446,1,28,0.8,39476,240,Asia
Colombia,4561,,215,,927,3419,98,90,4,71500,1405,"South America"
Finland,4395,+111,177,+5,2500,1718,61,793,32,74500,13446,Europe
"South Africa",4220,+267,79,+4,1473,2668,36,71,1,152390,2569,Africa
Egypt,4092,+201,294,+7,1075,2723,,40,3,90000,879,Africa
Morocco,3758,+190,158,+3,486,3114,1,102,4,23933,648,Africa
Luxembourg,3695,+30,85,+2,3007,603,25,5903,136,37782,60357,Europe
Argentina,3435,,167,+2,976,2292,123,76,4,44654,988,"South America"
Algeria,3127,+120,415,+8,1408,1304,40,71,9,6500,148,Africa
Moldova,3110,+184,84,+4,755,2271,212,771,21,11763,2916,Europe
Thailand,2854,+15,50,,2490,314,61,41,0.7,142589,2043,Asia
Kuwait,2614,+215,15,+1,613,1986,60,612,4,,,Asia
Bahrain,2506,+289,8,,1113,1385,2,1473,5,105365,61922,Asia
Greece,2490,+27,130,+5,577,1783,48,239,12,61407,5891,Europe
Kazakhstan,2416,+127,25,+5,604,1787,29,129,1,153492,8175,Asia
Hungary,2383,+99,250,+11,401,1732,61,247,26,58251,6030,Europe
Croatia,2009,+28,51,+1,982,976,19,489,12,30213,7360,Europe
Uzbekistan,1804,+46,8,+1,621,1175,8,54,0.2,210000,6274,Asia
Oman,1790,+74,10,+1,325,1455,3,351,2,,,Asia
Iceland,1789,,10,,1542,237,5,5243,29,45286,132709,Europe
Iraq,1708,+31,86,+3,1204,418,,42,2,67293,1673,Asia
