"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
"North America",1113529,"+22,733",63661,"+2,112",171763,878105,16135,,,,,"North America"
Europe,1322470,"+23,768",126385,"+2,388",459775,736310,24631,,,,,Europe
Asia,494686,"+11,460",17901,+313,245970,230815,5832,,,,,Asia
"South America",153713,"+9,539",7496,+766,54185,92032,9775,,,,,"South America"
Oceania,8305,+14,103,+1,6918,1284,45,,,,,Australia/Oceania
Africa,35342,"+1,306",1521,+53,11774,22047,120,,,,,Africa
,721,,15,,645,61,4,,,,,
World,3128766,"+68,820",217082,"+5,633",951030,1960654,56542,401,27.8,,,All
USA,1030389,"+20,033",58670,"+1,873",140288,831431,14868,3113,177,5825161,17599,"North America"
Spain,232128,"+2,706",23822,+301,123903,84403,7764,4965,510,1345560,28779,Europe
Italy,201505,"+2,091",27359,+382,68941,105205,1863,3333,453,1846934,30547,Europe
France,165911,"+2,638",23660,+367,46886,95365,4387,2542,362,463662,7103,Europe
UK,161145,"+3,996",21678,+586,N/A,139123,1559,2374,319,763387,11245,Europe
Germany,159735,+977,6280,+154,117400,36055,2409,1907,75,2072669,24738,Europe
Turkey,114653,"+2,392",2992,+92,38809,72852,1621,1359,35,948115,11242,Asia
Russia,93558,"+6,411",867,+73,8456,84235,2300,641,6,3139258,21511,Europe
Iran,92584,"+1,112",5877,+71,72439,14268,2983,1102,70,442590,5269,Asia
Brazil,71886,"+5,385",5017,+474,32544,34325,8318,338,24,339552,1597,"South America"
Canada,49817,"+1,317",2852,+145,19050,27915,557,1320,76,740859,19629,"North America"
Belgium,47334,+647,7331,+124,10943,29060,876,4084,633,220204,19000,Europe
Netherlands,38416,+171,4566,+48,N/A,33600,861,2242,266,209726,12240,Europe
India,31360,"+1,909",1008,+69,7747,22605,,23,0.7,716733,519,Asia
Peru,31190,"+2,491",854,+72,9179,21157,600,946,26,267612,8116,"South America"
Switzerland,29264,+100,1699,+34,22600,4965,185,3381,196,256500,29637,Europe
Portugal,24322,+295,948,+20,1389,21985,172,2385,93,360155,35321,Europe
Ecuador,24258,"+1,018",871,+208,1557,21830,146,1375,49,61529,3487,"South America"
"Saudi Arabia",20077,"+1,266",152,+8,2784,17141,118,577,4,200000,5745,Asia
Ireland,19877,+229,1159,+57,9233,9485,146,4025,235,153954,31179,Europe
Sweden,19621,+695,2355,+81,1005,16261,524,1943,233,119500,11833,Europe
Israel,15728,+173,210,+6,7746,7772,116,1817,24,313135,36177,Asia
Mexico,15529,+852,1434,+83,9086,5009,378,120,11,71103,551,"North America"
Austria,15357,+83,569,+20,12580,2208,136,1705,63,239578,26601,Europe
Singapore,14951,+528,14,,1128,13809,20,2556,2,121774,20815,Asia
Pakistan,14612,+697,312,+20,3233,11067,111,66,1,157223,712,Asia
Chile,14365,+552,207,+9,7710,6448,426,751,11,166165,8692,"South America"
Japan,13614,,385,,1899,11330,300,108,3,150692,1191,Asia
Poland,12218,+316,596,+34,2655,8967,160,323,16,310744,8211,Europe
Belarus,12208,+919,79,+4,1993,10136,92,1292,8,161028,17041,Europe
Qatar,11921,+677,10,,1134,10777,72,4138,3,88607,30755,Asia
Romania,11616,+277,663,+22,3404,7549,243,604,34,150309,7813,Europe
UAE,11380,+541,89,+7,2181,9110,1,1151,9,1057326,106904,Asia
"S. Korea",10752,+14,244,+1,8854,1654,55,210,5,608514,11869,Asia
Indonesia,9511,+415,773,+8,1254,7484,,35,3,79618,291,Asia
Ukraine,9410,+401,239,+19,992,8179,121,215,5,98719,2257,Europe
Denmark,8851,+153,434,+7,6121,2296,66,1528,75,166846,28805,Europe
Serbia,8497,+222,168,+6,1260,7069,79,972,19,73363,8396,Europe
Philippines,7958,+181,530,+19,975,6453,31,73,5,89889,820,Asia
Norway,7619,+20,206,+1,32,7381,44,1405,38,165951,30611,Europe
Czechia,7486,+41,225,+2,2942,4319,73,699,21,226255,21128,Europe
Australia,6731,+11,84,+1,5626,1021,42,264,3,530679,20811,Australia/Oceania
Bangladesh,6462,+549,155,+3,139,6168,1,39,0.9,54733,332,Asia
"Dominican Republic",6416,+123,286,+4,1165,4965,144,591,26,23979,2210,"North America"
Panama,6021,+242,167,+2,455,5399,89,1395,39,27834,6451,"North America"
Malaysia,5851,+31,100,+1,4032,1719,36,181,3,152142,4701,Asia
Colombia,5597,,253,,1210,4134,118,110,5,90899,1786,"South America"
Egypt,5042,+260,359,+22,1304,3379,,49,4,90000,879,Africa
"South Africa",4996,+203,93,+3,2073,2830,36,84,2,185000,3119,Africa
Finland,4740,+45,199,+6,2800,1741,56,855,36,85800,15485,Europe
Morocco,4252,+132,165,+3,778,3309,1,115,4,32250,874,Africa
Argentina,4003,,197,,1140,2666,144,89,4,51900,1148,"South America"
Luxembourg,3741,+12,89,+1,3123,529,19,5976,142,39741,63486,Europe
Algeria,3649,+132,437,+5,1651,1561,22,83,10,6500,148,Africa
Moldova,3638,+157,103,+1,975,2560,212,902,26,11763,2916,Europe
Kuwait,3440,+152,23,+1,1176,2241,67,806,5,179000,41915,Asia
Kazakhstan,3027,+192,25,,774,2228,41,161,1,216276,11518,Asia
Thailand,2938,+7,54,+2,2652,232,61,42,0.8,178083,2551,Asia
Bahrain,2811,+88,8,,1310,1493,2,1652,5,121706,71525,Asia
Hungary,2649,+66,291,+11,516,1842,49,274,30,67172,6953,Europe
Greece,2566,+32,138,+2,577,1851,40,246,13,69833,6700,Europe
Oman,2131,+82,10,,364,1757,3,417,2,,,Asia
Croatia,2047,+8,63,+4,1232,752,21,499,15,33577,8179,Europe
Uzbekistan,1939,+35,8,,992,939,8,58,0.2,242536,7247,Asia
Iraq,1928,+81,90,+2,1319,519,,48,2,73782,1834,Asia
Armenia,1867,+59,30,+1,866,971,10,630,10,19296,6512,Asia
Afghanistan,1828,+125,58,+1,228,1542,7,47,1,9000,231,Asia
