"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop"
China,81093,,3270,,72703,5120,1749,56
Italy,63927,"+4,789",6077,+601,7432,50418,3204,1057
USA,43469,"+9,903",545,+132,295,42629,1040,131
Spain,35136,"+6,368",2311,+539,3355,29470,2355,751
Germany,29056,"+4,183",123,+29,453,28480,23,347
Iran,23049,"+1,411",1812,+127,8376,12861,,274
France,19856,"+3,838",860,+186,2200,16796,2082,304
"S. Korea",8961,+64,111,+7,3166,5684,59,175
Switzerland,8795,"+1,321",120,+22,131,8544,141,1016
UK,6650,+967,335,+54,135,6180,20,98
Netherlands,4749,+545,213,+34,2,4534,435,277
Austria,4474,+892,21,+5,9,4444,14,497
Belgium,3743,+342,88,+13,401,3254,322,323
Norway,2621,+236,10,+3,6,2605,41,483
Canada,2091,+621,24,+4,320,1747,1,55
Portugal,2060,+460,23,+9,14,2023,47,202
Sweden,2046,+112,25,+4,16,2005,104,203
Brazil,1924,+378,34,+9,2,1888,18,9
Australia,1887,+278,7,,118,1762,11,74
Turkey,1529,+293,37,+7,,1492,,18
Malaysia,1518,+212,14,+4,159,1345,57,47
Denmark,1450,+55,24,+11,1,1425,55,250
Israel,1442,+371,1,,41,1400,29,167
Czechia,1236,+116,1,,7,1228,19,115
Japan,1128,+27,42,+1,235,851,49,9
Ireland,1125,+219,6,+2,5,1114,29,228
Ecuador,981,+192,18,+4,3,960,2,56
Luxembourg,875,+77,8,,6,861,3,1398
Pakistan,875,+99,6,+1,13,856,,4
Poland,749,+115,8,+1,13,728,3,20
Chile,746,+114,2,+1,11,733,7,39
Thailand,721,+122,1,,52,668,7,10
"Diamond Princess",712,,8,,567,137,15,
Finland,700,+74,1,,10,689,13,126
Greece,695,+71,17,+2,29,649,35,67
Iceland,588,+20,1,,51,536,14,1723
Indonesia,579,+65,49,+1,30,500,,2
Romania,576,+143,7,+4,73,496,15,30
"Saudi Arabia",562,+51,,,19,543,,16
Singapore,509,+54,2,,152,355,14,87
Qatar,501,+7,,,33,468,6,174
India,499,+103,10,+3,34,455,,0.4
Philippines,462,+82,33,+8,18,411,1,4
Slovenia,442,+28,3,+1,,439,12,213
Russia,438,+71,1,,17,420,,3
"South Africa",402,+128,,,4,398,,7
Peru,395,+32,5,,1,389,19,12
Bahrain,377,+43,2,,164,211,3,222
Egypt,366,+39,19,+5,68,279,,4
"Hong Kong",356,+38,4,,100,252,4,47
Estonia,352,+26,,,4,348,4,265
Panama,345,+32,6,+3,1,338,33,80
Mexico,316,+65,3,+1,4,309,1,2
Croatia,315,+61,1,,5,309,5,77
Argentina,301,+35,4,,51,246,,7
Colombia,277,+46,3,+1,3,271,,5
Lebanon,267,+19,4,,8,255,4,39
Iraq,266,+33,23,+3,62,181,,7
Serbia,249,+27,3,+1,3,243,12,28
"Dominican Republic",245,+43,3,,3,239,,23
Armenia,235,+41,,,2,233,6,79
Algeria,230,+29,17,,65,148,,5
Bulgaria,201,+14,3,,3,195,8,29
UAE,198,+45,2,,41,155,2,20
Taiwan,195,+26,2,,28,165,,8
Kuwait,189,+1,,,30,159,5,44
"San Marino",187,+12,20,,4,163,13,5511
Slovakia,186,+1,,,7,179,2,34
Latvia,180,+41,,,1,179,,95
Lithuania,179,+36,1,,1,177,1,66
Hungary,167,+36,7,+1,16,144,6,17
Uruguay,162,+4,,,,162,3,47
"Costa Rica",158,+24,2,,2,154,2,31
Morocco,143,+28,4,,5,134,1,4
"North Macedonia",136,+21,2,+1,1,133,1,65
"Bosnia and Herzegovina",136,+10,1,,2,133,1,41
Andorra,133,+20,1,,1,131,2,1721
Jordan,127,+15,,,1,126,,12
Vietnam,123,+10,,,17,106,2,1
"Faeroe Islands",118,+3,,,23,95,,2415
Cyprus,116,+21,1,,3,112,3,96
Moldova,109,+15,1,,2,106,3,27
Malta,107,+17,,,2,105,1,242
Albania,104,+15,4,+2,2,98,2,36
"New Zealand",102,,,,,102,,21
"Burkina Faso",99,+24,4,,5,90,,5
"Sri Lanka",97,+15,,,2,95,2,5
Brunei,91,+3,,,2,89,2,208
Tunisia,89,+14,3,,1,85,11,8
Cambodia,87,+3,,,2,85,1,5
Belarus,81,+5,,,22,59,,9
Senegal,79,+12,,,8,71,,5
Venezuela,77,+7,,,15,62,2,3
Ukraine,73,,3,,1,69,,2
Azerbaijan,72,+7,1,,10,61,3,7
Réunion,71,+7,,,1,70,,79
Oman,66,+11,,,17,49,,13
Guadeloupe,62,+4,1,,,61,4,155
Kazakhstan,62,+2,,,,62,,3
Georgia,61,+7,,,8,53,1,15
Palestine,59,,,,17,42,,12
Cameroon,56,+16,,,2,54,,2
Martinique,53,+9,1,,,52,7,141
Liechtenstein,51,+14,,,,51,,1338
"Trinidad and Tobago",51,+1,,,,51,,36
Uzbekistan,46,+3,,,,46,,1
Afghanistan,40,,1,,1,38,,1
Cuba,40,+5,1,,,39,3,4
