"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
"North America",819495,"+28,089",43294,"+1,757",86833,689368,14644,,,,,"North America"
Europe,1088698,"+28,660",101780,"+2,502",309495,677423,25395,,,,,Europe
Asia,383155,"+12,371",14786,+385,180611,187758,6403,,,,,Asia
"South America",82150,"+4,177",3847,+194,36329,41974,7534,,,,,"South America"
Oceania,8140,+35,83,+2,5159,2898,68,,,,,Australia/Oceania
Africa,22966,"+1,225",1125,+43,5840,16001,174,,,,,Africa
,721,,15,,644,62,7,,,,,
World,2405325,"+74,557",164930,"+4,883",624911,1615484,54225,309,21.2,,,All
USA,764053,"+25,261",40532,"+1,518",71001,652520,13566,2308,122,3861382,11666,"North America"
Spain,198674,"+4,258",20453,+410,77357,100864,7371,4249,437,930230,19896,Europe
Italy,178972,"+3,047",23660,+433,47055,108257,2635,2960,391,1356541,22436,Europe
France,152894,"+1,101",19718,+395,36578,96598,5744,2342,302,463662,7103,Europe
Germany,145184,"+1,460",4586,+48,88000,52598,2889,1733,55,1728357,20629,Europe
UK,120067,"+5,850",16060,+596,N/A,103663,1559,1769,237,482063,7101,Europe
Turkey,86306,"+3,977",2017,+127,11976,72313,1922,1023,24,634277,7521,Asia
Iran,82211,"+1,343",5118,+87,57023,20070,3456,979,61,341662,4068,Asia
Russia,42853,"+6,060",361,+48,3291,39201,8,294,2,1940000,13294,Europe
Brazil,38654,"+1,932",2462,+101,22130,14062,6634,182,12,62985,296,"South America"
Belgium,38496,"+1,313",5683,+230,8757,24056,1081,3322,490,153778,13269,Europe
Canada,35056,"+1,673",1587,+117,11843,21626,557,929,42,536062,14203,"North America"
Netherlands,32655,"+1,066",3684,+83,250,28721,1176,1906,215,154911,9041,Europe
Switzerland,27740,+336,1393,+25,17800,8547,386,3205,161,221263,25566,Europe
Portugal,20206,+521,714,+27,610,18882,224,1982,70,235878,23133,Europe
India,17615,"+1,250",559,+38,2854,14202,,13,0.4,401586,291,Asia
Peru,15628,"+1,208",400,+52,6811,8417,167,474,12,143745,4360,"South America"
Ireland,15251,+493,610,+39,77,14564,294,3089,124,90646,18358,Europe
Austria,14749,+78,452,+9,10501,3796,204,1638,50,179243,19902,Europe
Sweden,14385,+563,1540,+29,550,12295,450,1424,152,74600,7387,Europe
Israel,13491,+226,172,+8,3754,9565,146,1559,20,187250,21634,Asia
Japan,10797,+501,236,+14,1159,9402,217,85,2,112816,892,Asia
"S. Korea",10661,+8,234,+2,8042,2385,55,208,5,559109,10905,Asia
Chile,10088,+358,133,+7,4338,5617,360,528,7,113649,5945,"South America"
Ecuador,9468,+446,474,+18,1061,7933,124,537,27,31809,1803,"South America"
"Saudi Arabia",9362,"+1,088",97,+5,1398,7867,97,269,3,180000,5170,Asia
Poland,9287,+545,360,+13,1040,7887,160,245,10,204246,5397,Europe
Romania,8746,+328,451,+30,1892,6403,256,455,23,93611,4866,Europe
Pakistan,8348,+710,168,+25,1868,6312,46,38,0.8,98522,446,Asia
Mexico,7497,+622,650,+104,2627,4220,207,58,5,49167,381,"North America"
Denmark,7384,+142,355,+9,4141,2888,84,1275,61,94277,16277,Europe
Norway,7078,+42,165,+1,32,6881,58,1306,30,142166,26224,Europe
UAE,6781,+479,41,+4,1286,5454,1,686,4,767000,77550,Asia
Czechia,6746,+140,186,+5,1298,5262,84,630,17,168096,15697,Europe
Australia,6612,+26,71,+1,4230,2311,48,259,3,420996,16510,Australia/Oceania
Singapore,6588,+596,11,,768,5809,22,1126,2,94796,16203,Asia
Indonesia,6575,+327,582,+47,686,5307,,24,2,42219,154,Asia
Serbia,6318,+324,122,+5,753,5443,120,723,14,38701,4429,Europe
Philippines,6259,+172,409,+12,572,5278,1,57,4,59928,547,Asia
Ukraine,5449,+343,141,+8,347,4961,45,125,3,57111,1306,Europe
Qatar,5448,+440,8,,518,4922,37,1891,3,62538,21707,Asia
Malaysia,5389,+84,89,+1,3197,2103,46,167,3,103892,3210,Asia
Belarus,4779,,47,+2,494,4238,65,506,5,98231,10396,Europe
"Dominican Republic",4680,+345,226,+9,363,4091,114,431,21,15583,1436,"North America"
Panama,4273,+63,120,+4,140,4013,96,990,28,19091,4425,"North America"
Colombia,3792,+171,179,+13,711,2902,98,75,4,62746,1233,"South America"
Finland,3783,+102,94,+4,1700,1989,68,683,17,57300,10342,Europe
Luxembourg,3550,+13,73,+1,627,2850,31,5671,117,33666,53781,Europe
"South Africa",3158,+124,54,+2,903,2201,36,53,0.9,114711,1934,Africa
Egypt,3144,+112,239,+15,732,2173,,31,2,55000,537,Africa
Morocco,2855,+170,141,+4,327,2387,1,77,4,15123,410,Africa
Argentina,2839,,132,,709,1998,123,63,3,32712,724,"South America"
Thailand,2765,+32,47,,1928,790,61,40,0.7,100498,1440,Asia
