"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
"North America",1073115,"+8,512",60671,+716,149465,862979,16406,,,,,"North America"
Europe,1292153,"+15,345",123008,"+1,123",445377,723768,25140,,,,,Europe
Asia,479202,"+6,935",17417,+174,230663,231122,6017,,,,,Asia
"South America",138965,"+1,045",6330,+41,49975,82660,9708,,,,,"South America"
Oceania,8290,+4,102,+1,6838,1350,46,,,,,Australia/Oceania
Africa,33280,+623,1458,+31,10233,21589,140,,,,,Africa
,721,,15,,645,61,4,,,,,
World,3025726,"+32,464",209001,"+2,086",893196,1923529,57461,388,26.8,,,All
USA,993852,"+6,692",56009,+596,120299,817544,15143,3003,169,5564558,16811,"North America"
Spain,229422,"+2,793",23521,+331,120832,85069,7764,4907,503,1345560,28779,Europe
Italy,199414,"+1,739",26977,+333,66624,105813,1956,3298,446,1789662,29600,Europe
France,162100,,22856,,44903,94341,4682,2483,350,463662,7103,Europe
Germany,158142,+372,5985,+9,114500,37657,2570,1887,71,2072669,24738,Europe
UK,152840,,20732,,N/A,131764,1559,2251,305,669850,9867,Europe
Turkey,110130,,2805,,29140,78185,1776,1306,33,898742,10656,Asia
Iran,91472,+991,5806,+96,70933,14733,3011,1089,69,432329,5147,Asia
Russia,87147,"+6,198",794,+47,7346,79007,2300,597,5,3019434,20690,Europe
Brazil,63328,+469,4298,+27,30152,28878,8318,298,20,291922,1373,"South America"
Canada,47327,+432,2617,+57,17846,26864,557,1254,69,707508,18746,"North America"
Belgium,46687,+553,7207,+113,10878,28602,903,4028,622,214042,18468,Europe
Netherlands,38245,+400,4518,+43,N/A,33477,905,2232,264,193950,11319,Europe
Switzerland,29164,+103,1640,+30,21800,5724,185,3370,189,245300,28343,Europe
India,28380,+490,886,+5,6523,20971,,21,0.6,665819,482,Asia
Peru,27517,,728,,8088,18701,554,835,22,232747,7059,"South America"
Portugal,24027,+163,928,+25,1357,21742,176,2356,91,330512,32414,Europe
Ecuador,22719,,576,,1366,20777,127,1288,33,56513,3203,"South America"
Ireland,19262,,1087,,9233,8942,142,3901,220,127319,25785,Europe
Sweden,18926,+286,2274,+80,1005,15647,399,1874,225,94500,9357,Europe
"Saudi Arabia",18811,"+1,289",144,+5,2531,16136,117,540,4,200000,5745,Asia
Israel,15466,+23,202,+1,6796,8468,129,1787,23,302691,34971,Asia
Austria,15274,+49,549,+7,12362,2363,140,1696,61,232537,25819,Europe
Mexico,14677,+835,1351,+46,8354,4972,378,114,10,67635,525,"North America"
