"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
"North America",879058,"+27,662",48397,"+2,964",100345,730316,15276,,,,,"North America"
Europe,1140051,"+26,955",107906,"+3,415",344820,687325,26042,,,,,Europe
Asia,409880,"+13,411",15491,+359,191957,202432,6224,,,,,Asia
"South America",91257,"+4,771",4312,+233,39752,47193,9472,,,,,"South America"
Oceania,8190,+26,84,+1,5751,2355,54,,,,,Australia/Oceania
Africa,25411,"+1,240",1197,+33,6770,17444,164,,,,,Africa
,721,,15,,644,62,7,,,,,
World,2554568,"+74,065",177402,"+7,005",690039,1687127,57239,328,22.8,,,All
USA,817952,"+25,193",45279,"+2,765",82860,689813,14016,2471,137,4187392,12651,"North America"
Spain,204178,"+3,968",21282,+430,82514,100382,7705,4367,455,930230,19896,Europe
Italy,183957,"+2,729",24648,+534,51600,107709,2471,3043,408,1450150,23985,Europe
France,158050,"+2,667",20796,+531,39181,98073,5433,2421,319,463662,7103,Europe
Germany,148453,"+1,388",5086,+224,95200,48167,2889,1772,61,1728357,20629,Europe
UK,129044,"+4,301",17337,+828,N/A,111363,1559,1901,255,535342,7886,Europe
Turkey,95591,"+4,611",2259,+119,14918,78414,1865,1133,27,713409,8459,Asia
Iran,84802,"+1,297",5297,+88,60965,18540,3357,1010,63,365723,4354,Asia
Russia,52763,"+5,642",456,+51,3873,48434,700,362,3,2142604,14682,Europe
Brazil,43079,"+2,336",2741,+154,24325,16013,8318,203,13,291922,1373,"South America"
Belgium,40956,+973,5998,+170,9002,25956,1079,3534,518,167110,14419,Europe
Canada,38422,"+1,593",1834,+144,13188,23400,557,1018,49,565931,14995,"North America"
Netherlands,34134,+729,3916,+165,N/A,29968,1087,1992,229,171415,10004,Europe
Switzerland,28063,+119,1478,+49,19400,7185,386,3243,171,227554,26293,Europe
Portugal,21379,+516,762,+27,917,19700,213,2097,75,271962,26672,Europe
India,20080,"+1,541",645,+53,3975,15460,,15,0.5,447812,325,Asia
Peru,17837,"+1,512",484,+39,6982,10371,380,541,15,155724,4723,"South America"
Ireland,16040,+388,730,+43,9233,6077,315,3248,148,111584,22598,Europe
Sweden,15322,+545,1765,+185,550,13007,515,1517,175,94500,9357,Europe
Austria,14873,+78,491,+21,10971,3411,196,1651,55,189018,20987,Europe
Israel,13942,+229,184,+7,4507,9251,139,1611,21,240303,27763,Asia
"Saudi Arabia",11631,"+1,147",109,+6,1640,9882,81,334,3,500000,14362,Asia
Japan,11135,,263,,1239,9633,217,88,2,116725,923,Asia
Chile,10832,+325,147,+8,4969,5716,392,567,8,122357,6401,"South America"
"S. Korea",10683,+9,237,+1,8213,2233,55,208,5,571014,11138,Asia
Ecuador,10398,+270,520,+13,1207,8671,137,589,29,33389,1892,"South America"
Poland,9856,+263,401,+21,1297,8158,160,260,11,224355,5928,Europe
Pakistan,9565,+673,201,+25,2073,7291,46,43,0.9,111806,506,Asia
Romania,9242,+306,498,+20,2153,6591,245,480,26,101552,5279,Europe
Singapore,9125,"+1,111",11,,839,8275,23,1560,2,94796,16203,Asia
Mexico,8772,+511,712,+26,2627,5433,378,68,6,49570,384,"North America"
UAE,7755,+490,46,+3,1443,6266,1,784,5,790000,79875,Asia
Denmark,7695,+180,370,+6,4700,2625,81,1329,64,100543,17358,Europe
Norway,7241,+85,182,+1,32,7027,58,1336,34,145279,26798,Europe
Indonesia,7135,+375,616,+26,842,5677,,26,2,50370,184,Asia
Czechia,7033,+133,201,+7,1753,5079,75,657,19,178617,16679,Europe
Serbia,6890,+260,130,+5,977,5783,101,789,15,45355,5191,Europe
Belarus,6723,+459,55,+4,577,6091,92,711,6,108545,11487,Europe
Australia,6645,+20,71,,4685,1889,49,261,3,439000,17216,Australia/Oceania
Philippines,6599,+140,437,+9,654,5508,1,60,4,64845,592,Asia
Qatar,6533,+518,9,,614,5910,37,2268,3,66725,23160,Asia
Ukraine,6125,+415,161,+10,367,5597,45,140,4,61997,1418,Europe
Malaysia,5482,+57,92,+3,3349,2041,43,169,3,108216,3344,Asia
"Dominican Republic",5044,+80,245,+10,463,4336,126,465,23,16973,1565,"North America"
Panama,4658,+191,136,+10,204,4318,98,1080,32,20996,4866,"North America"
Colombia,4149,+172,196,+7,804,3149,98,82,4,65169,1281,"South America"
Finland,4014,+146,141,+43,2000,1873,63,724,25,61800,11154,Europe
Luxembourg,3618,+60,78,+3,670,2870,32,5780,125,34962,55852,Europe
Egypt,3490,+157,264,+14,870,2356,,34,3,55000,537,Africa
"South Africa",3465,+165,58,,1055,2352,36,58,1,126937,2140,Africa
Bangladesh,3382,+434,110,+9,87,3185,1,21,0.7,29578,180,Asia
Morocco,3209,+163,145,+2,393,2671,1,87,4,18100,490,Africa
Argentina,3144,+113,151,+9,840,2153,123,70,3,36611,810,"South America"
Algeria,2811,+93,392,+8,1152,1267,40,64,9,6500,148,Africa
Thailand,2811,+19,48,+1,2108,655,61,40,0.7,142589,2043,Asia
Moldova,2614,+66,72,+2,505,2037,212,648,18,11763,2916,Europe
Greece,2401,+156,121,+5,577,1703,59,230,12,55666,5341,Europe
Hungary,2098,+114,213,+14,287,1598,82,217,22,50052,5181,Europe
Kuwait,2080,+85,11,+2,412,1657,46,487,3,,,Asia
