"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
"North America",688580,"+32,501",30365,"+2,678",60653,597562,14595,,,,,"North America"
Europe,970757,"+33,469",88319,"+4,601",257966,624472,28603,,,,,Europe
Asia,332622,"+11,225",12019,+294,159945,160658,6462,,,,,Asia
"South America",63302,"+5,613",2797,+286,22378,38127,1218,,,,,"South America"
Oceania,7924,+67,72,+2,4415,3437,81,,,,,Australia/Oceania
Africa,17827,+955,913,+37,3862,13052,178,,,,,Africa
,721,,14,,639,68,7,,,,,
World,2081733,"+83,830",134499,"+7,898",509858,1437376,51144,267,17.3,,,All
USA,644025,"+30,142",28517,"+2,470",48679,566829,13487,1946,86,3258424,9844,"North America"
Spain,180659,"+6,599",18812,+557,70853,90994,7371,3864,402,650755,13918,Europe
Italy,165155,"+2,667",21645,+578,38092,105418,3079,2732,358,1117404,18481,Europe
France,147863,"+4,560",17167,"+1,438",30955,99741,6457,2265,263,333807,5114,Europe
Germany,134753,"+2,543",3804,+309,72600,58349,4288,1608,45,1728357,20629,Europe
UK,98476,"+4,603",12868,+761,N/A,85264,1559,1451,190,398916,5876,Europe
Iran,76389,"+1,512",4777,+94,49933,21679,3643,909,57,299204,3562,Asia
Turkey,69392,"+4,281",1518,+115,5674,62200,1820,823,18,477716,5664,Asia
Belgium,33573,"+2,454",4440,+283,7107,22026,1204,2897,383,128132,11056,Europe
Brazil,28610,"+3,348",1757,+225,14026,12827,296,135,8,62985,296,"South America"
Canada,28379,"+1,316",1010,+107,8937,18432,557,752,27,462353,12250,"North America"
Netherlands,28153,+734,3134,+189,250,24769,1279,1643,183,140845,8220,Europe
Switzerland,26336,+400,1239,+65,15400,9697,386,3043,143,199000,22993,Europe
Russia,24490,"+3,388",198,+28,1986,22306,8,168,1,1517992,10402,Europe
Portugal,18091,+643,599,+32,383,17109,208,1774,59,208314,20430,Europe
Austria,14350,+124,393,+9,8098,5859,232,1593,44,156801,17410,Europe
Ireland,12547,"+1,068",444,+38,77,12026,158,2541,90,90646,18358,Europe
Israel,12501,+455,130,+7,2563,9808,180,1444,15,117339,13557,Asia
India,12322,+835,405,+12,1432,10485,,9,0.3,244893,177,Asia
Sweden,11927,+482,1203,+170,381,10343,954,1181,119,74600,7387,Europe
