"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop"
USA,276965,"+32,088",7391,"+1,320",12283,257291,5787,837,22
Italy,119827,"+4,585",14681,+766,19758,85388,4068,1982,243
Spain,119199,"+7,134",11198,+850,30513,77488,6416,2549,240
Germany,91159,"+6,365",1275,+168,24575,65309,3936,1088,15
France,64338,"+5,233",6507,"+1,120",14008,43823,6662,986,100
Iran,53183,"+2,715",3294,+134,17935,31954,4035,633,39
UK,38168,"+4,450",3605,+684,135,34428,163,562,53
Turkey,20921,"+2,786",425,+69,484,20012,1251,248,5
Switzerland,19606,+779,591,+55,4846,14169,348,2265,68
Belgium,16770,"+1,422",1143,+132,2872,12755,1205,1447,99
Netherlands,15723,"+1,026",1487,+148,250,13986,1324,918,87
Canada,12375,"+1,092",208,+35,2186,9981,120,328,6
Austria,11524,+395,168,+10,2022,9334,245,1280,19
"S. Korea",10062,+86,174,+5,6021,3867,55,196,3
Portugal,9886,+852,246,+37,68,9572,245,970,24
Brazil,9194,"+1,150",363,+39,127,8704,296,43,2
Israel,7428,+571,40,+4,403,6985,113,858,5
Sweden,6131,+563,358,+50,205,5568,469,607,35
Australia,5454,+140,28,+3,585,4841,85,214,1
Norway,5370,+223,59,+9,32,5279,96,991,11
Ireland,4273,+424,120,+22,25,4128,148,865,24
Czechia,4190,+332,53,+9,72,4065,77,391,5
