"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop"
World,1272530,"+71,047",69416,"+4,726",261485,941629,45619,163,8.9,,
USA,336343,"+24,986",9608,"+1,157",17245,309490,8702,1016,29,1758694,5313
Spain,131646,"+5,478",12641,+694,38080,80925,6861,2816,270,355000,7593
Italy,128948,"+4,316",15887,+525,21815,91246,3977,2133,263,691461,11436
Germany,100123,"+4,031",1584,+140,28700,69839,3936,1195,19,918460,10962
France,92839,"+2,886",8078,+518,16183,68578,6838,1422,124,224254,3436
Iran,58226,"+2,483",3603,+151,19736,34887,4103,693,43,186000,2214
UK,47806,"+5,903",4934,+621,135,42737,1559,704,73,195524,2880
Turkey,27069,"+3,135",574,+73,1042,25453,1381,321,7,181445,2151
Switzerland,21100,+595,715,+49,6415,13970,391,2438,83,158000,18256
Belgium,19691,"+1,260",1447,+164,3751,14493,1261,1699,125,70000,6040
Netherlands,17851,"+1,224",1766,+115,250,15835,1385,1042,103,75415,4401
Canada,15512,"+1,600",280,+49,2942,12290,426,411,7,317972,8425
Austria,12051,+270,204,+18,2998,8849,244,1338,23,108416,12038
Portugal,11278,+754,295,+29,75,10908,267,1106,29,86370,8470
Brazil,11254,+894,486,+41,127,10641,296,53,2,54824,258
"S. Korea",10237,+81,183,+6,6463,3591,55,200,4,461233,8996
Israel,8430,+579,49,+5,477,7904,139,974,6,90394,10443
Sweden,6830,+387,401,+28,205,6224,541,676,40,36900,3654
Australia,5750,+200,37,+7,2315,3398,91,225,1,297154,11653
Norway,5687,+137,71,+9,32,5584,89,1049,13,105865,19528
Russia,5389,+658,45,+2,355,4989,8,37,0.3,697000,4776
Ireland,4994,+390,158,+21,25,4811,165,1011,32,30213,6119
Czechia,4587,+115,67,+8,96,4424,86,428,6,80304,7499
Chile,4471,+310,34,+7,618,3819,307,234,2,51956,2718
Denmark,4369,+292,179,+18,1327,2863,142,754,31,49249,8503
India,4288,+700,117,+18,328,3843,,3,0.08,128320,93
Poland,4102,+475,94,+15,134,3874,50,108,2,80757,2134
Romania,3864,+251,151,+5,374,3339,141,201,8,38623,2008
Malaysia,3662,+179,61,+4,1005,2596,99,113,2,51937,1605
Japan,3654,+515,85,+8,575,2994,69,29,0.7,44639,353
Ecuador,3646,+181,180,+8,100,3366,100,207,10,12386,702
Philippines,3246,+152,152,+8,64,3030,1,30,1,19585,179
Pakistan,3157,+339,47,+6,211,2899,18,14,0.2,34885,158
Luxembourg,2804,+75,36,+5,500,2268,33,4479,58,23687,37840
"Saudi Arabia",2402,+223,34,+5,488,1880,41,69,1,,
Peru,2281,+535,83,+10,989,1209,81,69,3,19410,589
Indonesia,2273,+181,198,+7,164,1911,,8,0.7,9712,36
Thailand,2169,+102,23,+3,793,1353,23,31,0.3,25071,359
Finland,1927,+45,28,+3,300,1599,73,348,5,31714,5724
Serbia,1908,+284,51,+7,54,1803,98,218,6,7360,842
Mexico,1890,+202,79,+19,633,1178,1,15,0.6,15668,122
Panama,1801,,46,,13,1742,75,417,11,9256,2145
UAE,1799,+294,10,,144,1645,1,182,1,220000,22244
"Dominican Republic",1745,+167,82,+5,17,1646,147,161,8,4542,419
Greece,1735,+62,73,+5,78,1584,93,166,7,25453,2442
"South Africa",1655,+70,11,+2,95,1549,7,28,0.2,56873,959
Qatar,1604,+279,4,+1,123,1477,37,557,1,35757,12411
Argentina,1554,+103,46,+3,280,1228,86,34,1,8488,188
Iceland,1486,+69,4,,428,1054,11,4355,12,25394,74416
Colombia,1485,+79,35,+3,88,1362,50,29,0.7,23706,466
Algeria,1320,+69,152,+22,90,1078,46,30,3,3359,77
Singapore,1309,+120,6,,320,983,25,224,1,39000,6666
Ukraine,1308,+83,37,+5,28,1243,16,30,0.8,5493,126
Croatia,1182,+56,15,+3,125,1042,39,288,4,10847,2642
Egypt,1173,+103,78,+7,247,848,,11,0.8,25000,244
Estonia,1097,+58,15,+2,62,1020,17,827,11,21004,15834
"New Zealand",1039,+89,1,,156,882,3,215,0.2,36209,7509
Morocco,1021,+102,70,+11,76,875,1,28,2,4848,131
Slovenia,997,+20,28,+6,79,890,31,480,13,27764,13355
Iraq,961,+83,61,+5,279,621,,24,2,,
"Hong Kong",890,+28,4,,206,680,8,119,0.5,96709,12900
Moldova,864,+112,15,+3,30,819,80,214,4,,
Armenia,822,+52,7,,57,758,30,277,2,4666,1575
Lithuania,811,+40,13,+2,7,791,11,298,5,23645,8686
Hungary,733,+55,34,+2,66,633,17,76,4,21250,2200
"Diamond Princess",712,,11,,619,82,10,,,,
Bahrain,700,+12,4,,431,265,3,411,2,44386,26085
"Bosnia and Herzegovina",654,+30,23,+2,30,601,4,199,7,5349,1630
Cameroon,650,+95,9,,17,624,,24,0.3,,
Azerbaijan,584,+63,7,+2,32,545,17,58,0.7,40000,3945
Kazakhstan,584,+53,6,+1,42,536,6,31,0.3,5093,271
Tunisia,574,+21,22,+4,5,547,39,49,2,7145,605
Belarus,562,+122,8,+3,52,502,11,59,0.8,32000,3386
Kuwait,556,+77,1,,99,456,17,130,0.2,,
"North Macedonia",555,+72,18,+1,23,514,15,266,9,4920,2362
Latvia,533,+24,1,,1,531,4,283,0.5,20680,10964
Bulgaria,531,+28,20,+3,37,474,22,76,3,15899,2288
Lebanon,527,+7,18,+1,54,455,28,77,3,9411,1379
Andorra,501,+35,18,+1,26,457,12,6484,233,,
Slovakia,485,+14,1,,10,474,3,89,0.2,15155,2776
"Costa Rica",454,+19,2,,16,436,14,89,0.4,5098,1001
Cyprus,446,+20,9,,37,400,11,369,7,10946,9066
Uruguay,406,+6,6,+1,104,296,14,117,2,5208,1499
Taiwan,363,+8,5,,54,304,,15,0.2,37219,1563
Albania,361,+28,20,,104,237,7,125,7,2396,833
Afghanistan,349,+40,7,,15,327,,9,0.2,,
"Burkina Faso",345,+27,17,+1,90,238,,17,0.8,,
Jordan,345,+22,5,,110,230,5,34,0.5,,
Réunion,344,+10,,,40,304,4,384,,,
Uzbekistan,342,+76,2,,30,310,8,10,0.06,,
Cuba,320,+32,8,+2,15,297,11,28,0.7,5234,462
"Channel Islands",309,+47,6,+1,27,276,,1777,35,,
Oman,298,+21,2,,61,235,3,58,0.4,,
Honduras,268,+4,22,+7,6,240,10,27,2,,
"San Marino",266,+7,32,,35,199,14,7839,943,586,17270
"Ivory Coast",261,+16,3,+2,37,221,,10,0.1,,
Vietnam,241,+1,,,90,151,3,2,,88551,910
Palestine,237,+20,1,,25,211,,46,0.2,12738,2497
Nigeria,232,+18,5,+1,33,194,2,1,0.02,4000,19
Mauritius,227,+31,7,,7,213,1,178,6,,
Malta,227,+14,,,5,222,3,514,,10358,23459
Senegal,222,+3,2,,82,138,1,13,0.1,,
Ghana,214,+9,5,,31,178,2,7,0.2,,
Montenegro,214,+13,2,,1,211,4,341,3,1583,2520
Niger,184,+40,10,+2,13,161,,8,0.4,4012,166
"Faeroe Islands",181,,,,99,82,1,3704,,4890,100076
"Sri Lanka",176,+10,5,,33,138,5,8,0.2,,
Georgia,174,+12,2,+1,36,136,6,44,0.5,2762,692
Venezuela,159,+4,7,,52,100,6,6,0.2,1779,63
Bolivia,157,+18,10,,2,145,3,13,0.9,591,51
DRC,154,,18,,3,133,,2,0.2,,
Martinique,149,+4,4,+1,50,95,21,397,11,,
Mayotte,147,+13,2,,14,131,3,539,7,479,1756
Kyrgyzstan,147,+3,1,,9,137,5,23,0.2,9618,1474
Kenya,142,+16,4,,4,134,2,3,0.07,3836,71
Guadeloupe,135,+1,7,,31,97,14,337,17,,
Brunei,135,,1,,73,61,3,309,2,8129,18581
"Isle of Man",127,+1,1,,,126,,1494,12,1334,15688
Guinea,121,+10,,,5,116,,9,,,
Cambodia,114,,,,50,64,1,7,,5768,345
"Trinidad and Tobago",104,+1,7,+1,1,96,,74,5,797,569
Paraguay,104,+8,3,,12,89,2,15,0.4,1381,194
Rwanda,104,+2,,,4,100,,8,,,
Gibraltar,103,+5,,,52,51,,3057,,1345,39922
Bangladesh,88,+18,9,+1,33,46,1,0.5,0.05,2086,13
Liechtenstein,77,,1,,,76,,2020,26,900,23605
Monaco,73,+7,1,,3,69,4,1860,25,,
Madagascar,72,+2,,,2,70,6,3,,,
Guatemala,70,+9,3,+1,15,52,3,4,0.2,1134,63
"French Guiana",68,+7,,,27,41,1,228,,,
Aruba,64,,,,1,63,,599,,869,8139
"El Salvador",62,+6,3,,2,57,4,10,0.5,,
Djibouti,59,+9,,,9,50,,60,,,
Jamaica,58,+5,3,,8,47,,20,1,540,182
Barbados,56,+4,1,+1,6,49,4,195,3,527,1834
Uganda,52,+4,,,,52,,1,,2629,57
Congo,45,+23,5,+3,2,38,,8,0.9,,
Mali,45,+4,5,+2,1,39,,2,0.2,,
