"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop"
World,1425837,"+79,801",81977,"+7,323",301828,1042032,47912,183,10.5,,
USA,395644,"+28,640",12795,"+1,924",21674,361175,9169,1195,39,2065073,6239
Spain,141942,"+5,267",14045,+704,43208,84689,7069,3036,300,355000,7593
Italy,135586,"+3,039",17127,+604,24392,94067,3792,2243,283,755445,12495
France,109069,"+11,059",10328,"+1,417",19337,79404,7131,1671,158,224254,3436
Germany,107663,"+4,288",2016,+206,36081,69566,4895,1285,24,918460,10962
Iran,62589,"+2,089",3872,+133,27039,31678,3987,745,46,211136,2514
UK,55242,"+3,634",6159,+786,135,48948,1559,814,91,266694,3929
Turkey,34109,"+3,892",725,+76,1582,31802,1474,404,9,228868,2714
Switzerland,22253,+596,821,+56,8704,12728,391,2571,95,167429,19346
Belgium,22194,"+1,380",2035,+403,4157,16002,1260,1915,176,80512,6947
Netherlands,19580,+777,2101,+234,250,17229,1424,1143,123,86589,5053
Canada,17897,"+1,230",381,+58,4028,13488,426,474,10,346507,9181
Brazil,14034,"+1,851",686,+122,127,13221,296,66,3,54824,258
Austria,12639,+342,243,+23,4046,8350,243,1403,27,115235,12795
Portugal,12442,+712,345,+34,184,11913,271,1220,34,121256,11892
"S. Korea",10331,+47,192,+6,6694,3445,55,202,4,477304,9310
Israel,9248,+344,65,+8,770,8413,149,1068,8,117339,13557
Sweden,7693,+487,591,+114,205,6897,640,762,59,54700,5416
Russia,7497,"+1,154",58,+11,494,6945,8,51,0.4,795000,5448
Norway,6086,+221,89,+13,32,5965,78,1123,16,113896,21009
Australia,5988,+93,49,+4,2547,3392,93,235,2,310700,12184
Ireland,5709,+345,210,+36,25,5474,165,1156,43,42484,8604
India,5311,+533,150,+14,421,4740,,4,0.1,140293,102
Chile,5116,+301,43,+6,898,4175,337,268,2,57122,2988
Denmark,5071,+390,203,+16,1491,3377,127,875,35,58419,10086
Czechia,5017,+195,88,+10,172,4757,86,468,8,91247,8521
Poland,4848,+435,129,+22,191,4528,50,128,3,92215,2437
Romania,4417,+360,197,+21,460,3760,274,230,10,43578,2265
Pakistan,4035,+269,57,+4,429,3549,28,18,0.3,39183,177
Ecuador,3995,+248,220,+29,140,3635,156,226,12,14406,817
Malaysia,3963,+170,63,+1,1321,2579,92,122,2,55566,1717
Japan,3906,,92,,592,3222,79,31,0.7,55311,437
Philippines,3764,+104,177,+14,84,3503,1,34,2,22958,210
Luxembourg,2970,+127,44,+3,500,2426,35,4745,70,25702,41059
Peru,2954,+393,107,+15,1301,1546,109,90,3,21555,654
"Saudi Arabia",2795,+190,41,+3,615,2139,41,80,1,,
Indonesia,2738,+247,221,+12,204,2313,,10,0.8,14354,52
Serbia,2447,+247,61,+3,118,2268,109,280,7,9626,1102
Mexico,2439,+296,125,+31,633,1681,89,19,1,20475,159
UAE,2359,+283,12,+1,186,2161,1,239,1,220000,22244
Finland,2308,+132,34,+7,300,1974,81,417,6,34900,6299
Thailand,2258,+38,27,+1,888,1343,61,32,0.4,71860,1030
Panama,2100,,55,,14,2031,88,487,13,10297,2386
Qatar,2057,+225,6,+2,150,1901,37,714,2,41818,14515
"Dominican Republic",1956,+128,98,+12,36,1822,147,180,9,4542,419
Greece,1832,+77,81,+2,269,1482,90,176,8,28584,2742
Colombia,1780,+201,50,+4,100,1630,76,35,1,30445,598
"South Africa",1749,+63,13,+1,95,1641,7,29,0.2,58098,980
Argentina,1715,+87,60,+7,338,1317,96,38,1,11778,261
Iceland,1586,+24,6,,559,1021,11,4648,18,28991,84957
Singapore,1481,+106,6,,377,1098,29,253,1,65000,11110
Algeria,1468,+45,193,+20,113,1162,46,33,4,3359,77
Ukraine,1462,+143,45,+7,28,1389,16,33,1,6385,146
Egypt,1450,+128,94,+9,276,1080,,14,0.9,25000,244
Croatia,1282,+60,18,+2,167,1097,35,312,4,12322,3002
Morocco,1184,+64,90,+10,93,1001,1,32,2,5437,147
"New Zealand",1160,+54,1,,241,918,4,241,0.2,42826,8881
Estonia,1149,+41,21,+2,69,1059,12,866,16,23546,17750
Iraq,1122,+91,65,+1,373,684,,28,2,26331,655
Slovenia,1059,+38,36,+6,102,921,30,509,17,29455,14168
Moldova,1056,+91,22,+3,40,994,80,262,5,5108,1266
"Hong Kong",936,+21,4,,236,696,12,125,0.5,96709,12900
Lithuania,880,+37,15,,8,857,11,323,6,27807,10215
Belarus,861,+161,13,,54,794,31,91,1,43000,4551
Armenia,853,+20,8,,87,758,30,288,3,5140,1735
Hungary,817,+73,47,+9,71,699,17,85,5,23746,2458
Bahrain,811,+55,5,+1,458,348,4,477,3,47684,28023
"Bosnia and Herzegovina",764,+90,33,+4,68,663,4,233,10,6911,2106
Kuwait,743,+78,1,,105,637,23,174,0.2,,
Azerbaijan,717,+76,8,+1,44,665,23,71,0.8,53300,5257
"Diamond Princess",712,,11,,619,82,10,,,,
Kazakhstan,697,+35,6,,51,640,16,37,0.3,54767,2917
Cameroon,685,+27,9,,60,616,,26,0.3,,
Tunisia,623,+27,23,+1,25,575,39,53,2,8274,700
"North Macedonia",599,+29,26,+3,30,543,15,288,12,5879,2822
Slovakia,581,+47,2,,13,566,3,106,0.4,17639,3231
Bulgaria,577,+28,23,+1,42,512,21,83,3,15899,2288
Lebanon,548,+7,19,,62,467,29,80,3,10221,1497
Latvia,548,+6,2,+1,16,530,5,291,1,22575,11969
Andorra,545,+20,22,+1,39,484,17,7054,285,1673,21653
Uzbekistan,520,+63,2,,30,488,8,16,0.06,,
Cyprus,494,+29,9,,47,438,13,409,7,13017,10781
"Costa Rica",483,+16,2,,24,457,14,95,0.4,5525,1085
Uruguay,424,+9,7,+1,150,267,14,122,2,5727,1649
Afghanistan,423,+56,14,+3,18,391,,11,0.4,,
Cuba,396,+46,11,+2,27,358,15,35,1,7054,623
"Burkina Faso",384,+20,19,+1,127,238,,18,0.9,,
Albania,383,+6,22,+1,131,230,7,133,8,2753,957
Taiwan,376,+3,5,,61,310,,16,0.2,40702,1709
Oman,371,+40,2,,67,302,3,73,0.4,,
Réunion,358,+9,,,40,318,4,400,,,
Jordan,353,+4,6,,138,209,5,35,0.6,17000,1666
"Ivory Coast",349,+26,3,,41,305,,13,0.1,,
"Channel Islands",335,+12,7,,34,294,,1927,40,1157,6655
Honduras,305,+7,22,,6,277,10,31,2,,
Malta,293,+52,,,5,288,4,664,,10923,24738
Ghana,287,+73,5,,31,251,2,9,0.2,,
"San Marino",279,+2,34,+2,40,205,14,8223,1002,586,17270
Niger,278,+25,11,+1,26,241,,11,0.5,4199,173
Mauritius,268,+24,7,,8,253,3,211,6,4913,3863
Palestine,261,+7,1,,42,218,,51,0.2,15140,2968
Nigeria,254,+16,6,+1,44,204,2,1,0.03,5000,24
Vietnam,251,+6,,,123,128,8,3,,106399,1093
Montenegro,241,+8,2,,4,235,7,384,3,2014,3207
Senegal,237,+11,2,,105,130,1,14,0.1,,
Kyrgyzstan,228,+12,4,,33,191,5,35,0.6,9618,1474
Georgia,196,+8,3,+1,46,147,6,49,0.8,2762,692
Bolivia,194,+11,14,+3,2,178,3,17,1,591,51
"Sri Lanka",185,+7,6,+1,42,137,5,9,0.3,3248,152
"Faeroe Islands",184,+1,,,120,64,2,3766,,5035,103043
DRC,180,+19,18,,9,153,,2,0.2,,
Kenya,172,+14,6,,7,159,2,3,0.1,4973,92
Mayotte,171,+7,2,,22,147,3,627,7,1100,4032
Venezuela,166,+1,7,,65,94,6,6,0.2,1779,63
Bangladesh,164,+41,17,+5,33,114,1,1,0.1,4289,26
Martinique,152,+1,4,,50,98,20,405,11,,
"Isle of Man",150,+11,1,,73,76,6,1764,12,1669,19628
Guinea,144,+16,,,5,139,,11,,,
Guadeloupe,139,,7,,31,101,14,347,17,,
Brunei,135,,1,,85,49,3,309,2,8845,20218
Paraguay,115,+2,5,,15,95,1,16,0.7,2039,286
Cambodia,115,+1,,,58,57,1,7,,5768,345
Gibraltar,113,+4,,,60,53,,3354,,1440,42741
"Trinidad and Tobago",107,+2,8,,1,98,,76,6,878,627
Rwanda,105,,,,7,98,,8,,806,62
Djibouti,90,,,,9,81,,91,,2229,2256
Madagascar,88,+6,,,7,81,6,3,,,
Monaco,79,+2,1,,4,74,4,2013,25,,
"El Salvador",78,+9,4,,5,69,4,12,0.6,,
Liechtenstein,78,+1,1,,55,22,,2046,26,900,23605
Guatemala,77,+7,3,,17,57,3,4,0.2,1134,63
"French Guiana",77,+5,,,34,43,1,258,,,
Aruba,74,+3,,,14,60,,693,,954,8935
Togo,65,+7,3,,23,39,,8,0.4,1617,195
Barbados,63,+3,3,+1,6,54,4,219,10,557,1938
Jamaica,63,+4,3,,9,51,,21,1,540,182
Mali,56,+9,5,,12,39,,3,0.2,,
Ethiopia,52,+8,2,,4,46,1,0.5,0.02,2271,20
Uganda,52,,,,,52,,1,,3310,72
"French Polynesia",47,+5,,,,47,,167,,694,2471
Congo,45,,5,,2,38,,8,0.9,,
"Cayman Islands",45,+6,1,,6,38,,685,15,479,7288
Macao,44,,,,10,34,1,68,,,
"Sint Maarten",40,+3,6,,1,33,2,933,140,112,2612
Bermuda,39,,2,,17,20,,626,32,306,4913
Zambia,39,,1,,7,31,,2,0.05,619,34
Bahamas,33,,6,+1,5,22,1,84,15,,
Guyana,33,+2,5,+1,8,20,4,42,6,132,168
Guinea-Bissau,33,+15,,,,33,,17,,,
"Saint Martin",32,,2,,7,23,6,828,52,,
Eritrea,31,,,,,31,,9,,,
Gabon,30,+6,1,,1,28,,13,0.4,,
Benin,26,,1,,5,20,,2,0.08,,
Haiti,25,+1,1,,,24,,2,0.09,257,23
Tanzania,24,,1,,5,18,,0.4,0.02,,
Myanmar,22,,1,,,21,,0.4,0.02,1246,23
Libya,20,+1,1,,1,18,,3,0.1,326,47
Syria,19,,2,,3,14,,1,0.1,,
"Antigua and Barbuda",19,+4,1,+1,,18,1,194,10,40,408
Maldives,19,,,,13,6,,35,,,
"New Caledonia",18,,,,1,17,,63,,2320,8126
Angola,17,+1,2,,2,13,,0.5,0.06,,
"Equatorial Guinea",16,,,,3,13,,11,,854,609
Namibia,16,,,,3,13,,6,,362,142
Dominica,15,,,,1,14,,208,,293,4070
Fiji,15,+1,,,,15,,17,,,
