"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
"North America",912309,"+32,442",51068,"+2,632",102538,758703,15271,,,,,"North America"
Europe,1168284,"+28,233",111202,"+3,296",360797,696285,25509,,,,,Europe
Asia,421849,"+11,589",15836,+327,198588,207425,6169,,,,,Asia
"South America",96511,"+5,251",4568,+256,41389,50554,9499,,,,,"South America"
Oceania,8201,+11,88,+4,6016,2097,51,,,,,Australia/Oceania
Africa,26654,"+1,243",1244,+47,7315,18095,174,,,,,Africa
,721,,15,,644,62,7,,,,,
World,2634529,"+78,769",184021,"+6,562",717287,1733221,56680,338,23.6,,,All
USA,848115,"+29,371",47639,"+2,321",83978,716498,14016,2562,144,4323251,13061,"North America"
Spain,208389,"+4,211",21717,+435,85915,100757,7705,4457,464,930230,19896,Europe
Italy,187327,"+3,370",25085,+437,54543,107699,2384,3098,415,1513251,25028,Europe
France,159877,"+1,827",21340,+544,40657,97880,5218,2449,327,463662,7103,Europe
Germany,150648,"+2,195",5315,+229,99400,45933,2908,1798,63,2072669,24738,Europe
UK,133495,"+4,451",18100,+763,N/A,115051,1559,1966,267,559935,8248,Europe
Turkey,98674,"+3,083",2376,+117,16477,79821,1814,1170,28,750944,8904,Asia
Iran,85996,"+1,194",5391,+94,63113,17492,3311,1024,64,377396,4493,Asia
Russia,57999,"+5,236",513,+57,4420,53066,700,397,4,2250000,15418,Europe
Brazil,45757,"+2,678",2906,+165,25318,17533,8318,215,14,291922,1373,"South America"
Belgium,41889,+933,6262,+264,9433,26194,1020,3614,540,171400,14789,Europe
Canada,40190,"+1,768",1974,+140,13986,24230,557,1065,52,569878,15099,"North America"
Netherlands,34842,+708,4054,+138,N/A,30538,1050,2033,237,171415,10004,Europe
Switzerland,28268,+205,1509,+31,19900,6859,386,3266,174,227554,26293,Europe
Portugal,21982,+603,785,+23,1143,20054,207,2156,77,284741,27925,Europe
India,21370,"+1,290",681,+36,4370,16319,,15,0.5,462621,335,Asia
Peru,19250,"+1,413",530,+46,7027,11693,396,584,16,170400,5168,"South America"
Ireland,16671,+631,769,+39,9233,6669,147,3376,156,111584,22598,Europe
Sweden,16004,+682,1937,+172,550,13517,515,1585,192,94500,9357,Europe
Austria,14925,+52,510,+19,11328,3087,176,1657,57,201794,22406,Europe
Israel,14498,+556,189,+5,5215,9094,141,1675,22,240303,27763,Asia
"Saudi Arabia",12772,"+1,141",114,+5,1812,10846,82,367,3,200000,5745,Asia
Japan,11512,,281,,1356,9875,232,91,2,124550,985,Asia
Chile,11296,+464,160,+13,5386,5750,399,591,8,128722,6734,"South America"
Ecuador,10850,+452,537,+17,1262,9051,141,615,30,33389,1892,"South America"
"S. Korea",10694,+11,238,+1,8277,2179,55,209,5,577959,11273,Asia
Poland,10169,+313,426,+25,1513,8230,160,269,11,238799,6310,Europe
Singapore,10141,"+1,016",12,+1,896,9233,27,1733,2,94796,16203,Asia
Pakistan,10076,+511,212,+11,2156,7708,58,46,1,118020,534,Asia
Romania,9710,+468,524,+26,2406,6780,288,505,27,106357,5529,Europe
Mexico,9501,+729,857,+145,2627,6017,378,74,7,49570,384,"North America"
UAE,8238,+483,52,+6,1546,6640,1,833,5,790000,79875,Asia
Denmark,7912,+217,384,+14,5087,2441,80,1366,66,108465,18726,Europe
Indonesia,7418,+283,635,+19,913,5870,,27,2,55732,204,Asia
Norway,7338,+97,187,+5,32,7119,54,1354,34,148656,27421,Europe
Belarus,7281,+558,58,+3,769,6454,92,771,6,114955,12165,Europe
Qatar,7141,+608,10,+1,689,6442,37,2479,3,70012,24301,Asia
Czechia,7132,+99,208,+7,1989,4935,80,666,19,186918,17454,Europe
Serbia,7114,+224,134,+4,1025,5955,101,814,15,48636,5566,Europe
Philippines,6710,+111,446,+9,693,5571,1,61,4,68532,625,Asia
Australia,6649,+4,74,+3,4920,1655,47,261,3,452441,17743,Australia/Oceania
Ukraine,6592,+467,174,+13,424,5994,45,151,4,67520,1544,Europe
Malaysia,5532,+50,93,+1,3452,1987,43,171,3,113755,3515,Asia
"Dominican Republic",5300,+256,260,+15,581,4459,135,489,24,18261,1683,"North America"
Panama,4821,+163,141,+5,231,4449,94,1117,33,21902,5076,"North America"
Colombia,4356,+207,206,+10,870,3280,98,86,4,71500,1405,"South America"
Finland,4129,+115,149,+8,2000,1980,63,745,27,68552,12372,Europe
Bangladesh,3772,+390,120,+10,92,3560,1,23,0.7,32630,198,Asia
Egypt,3659,+169,276,+12,935,2448,,36,3,55000,537,Africa
