"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","1st
case"
USA,123313,"+19,187",2211,+515,3231,117871,2666,373,7,2020/01/20
Italy,92472,"+5,974",10023,+889,12384,70065,3856,1529,166,2020/01/29
Spain,73235,"+7,516",5982,+844,12285,54968,4165,1566,128,2020/01/30
Germany,57695,"+6,824",433,+82,8481,48781,1581,689,5,2020/01/26
France,37575,"+4,611",2314,+319,5700,29561,4273,576,35,2020/01/23
Iran,35408,"+3,076",2517,+139,11679,21212,3206,422,30,2020/02/18
UK,17089,"+2,546",1019,+260,135,15935,163,252,15,2020/01/30
Switzerland,14076,"+1,148",264,+33,1530,12282,301,1626,31,2020/02/24
Netherlands,9762,"+1,159",639,+93,3,9120,914,570,37,2020/02/26
"S. Korea",9478,+146,144,+5,4811,4523,59,185,3,2020/01/19
Belgium,9134,"+1,850",353,+64,1063,7718,789,788,30,2020/02/03
Austria,8271,+574,68,+10,225,7978,135,918,8,2020/02/24
Turkey,7402,"+1,704",108,+16,70,7224,445,88,1,2020/03/09
Canada,5655,+898,60,+5,396,5199,120,150,2,2020/01/24
Portugal,5170,+902,100,+24,43,5027,89,507,10,2020/03/01
Norway,4015,+244,23,+4,7,3985,84,741,4,2020/02/25
Brazil,3904,+487,114,+22,6,3784,296,18,0.5,2020/02/24
Australia,3635,+257,14,+1,170,3451,23,143,0.5,2020/01/24
Israel,3619,+584,12,,89,3518,50,418,1,2020/02/20
Sweden,3447,+378,105,,16,3326,239,341,10,2020/01/30
Czechia,2631,+352,11,+2,11,2609,250,246,1,2020/02/29
Ireland,2415,+294,36,+14,5,2374,59,489,7,2020/02/28
Malaysia,2320,+159,27,+1,320,1973,54,72,0.8,2020/01/24
Denmark,2201,+155,65,+13,1,2135,109,380,11,2020/02/26
Chile,1909,+299,6,+1,61,1842,7,100,0.3,2020/03/02
Luxembourg,1831,+226,18,+3,40,1773,25,2925,29,2020/02/28
Ecuador,1823,+196,48,+7,3,1772,58,103,3,2020/02/28
Japan,1693,+194,52,+3,404,1237,56,13,0.4,2020/01/14
Poland,1638,+249,18,+2,7,1613,3,43,0.5,2020/03/03
Pakistan,1495,+122,12,+1,29,1454,7,7,0.05,2020/02/25
Romania,1452,+160,37,+11,139,1276,34,75,2,2020/02/25
Russia,1264,+228,4,,49,1211,8,9,0.03,2020/01/30
Thailand,1245,+109,6,+1,97,1142,11,18,0.09,2020/01/12
"Saudi Arabia",1203,+99,4,+1,37,1162,6,35,0.1,2020/03/01
"South Africa",1187,+17,1,,31,1155,7,20,0.02,2020/03/04
Finland,1167,+126,9,+2,10,1148,32,211,2,2020/01/28
Indonesia,1155,+109,102,+15,59,994,,4,0.4,2020/03/01
Philippines,1075,+272,68,+14,35,972,1,10,0.6,2020/01/29
Greece,1061,+95,32,+4,52,977,66,102,3,2020/02/25
India,987,+100,24,+4,84,879,,0.7,0.02,2020/01/29
Iceland,963,+73,2,,114,847,18,2822,6,2020/02/27
Singapore,802,+70,2,,198,602,19,137,0.3,2020/01/22
Panama,786,,14,,2,770,20,182,3,2020/03/09
Argentina,745,+156,19,+6,72,654,,16,0.4,2020/03/02
"Dominican Republic",719,+138,28,+8,3,688,,66,3,2020/02/29
Mexico,717,+132,12,+4,4,701,1,6,0.09,2020/02/27
"Diamond Princess",712,,10,,597,105,15,,,2020/02/04
Slovenia,684,+52,9,,10,665,25,329,4,2020/03/03
Peru,671,+36,16,+5,16,639,33,20,0.5,2020/03/05
Serbia,659,+131,10,+2,42,607,25,75,1,2020/03/05
Croatia,657,+71,5,+2,45,607,14,160,1,2020/02/24
Estonia,645,+70,1,,20,624,10,486,0.8,2020/02/26
Colombia,608,+69,6,,10,592,,12,0.1,2020/03/05
Qatar,590,+28,1,+1,45,544,6,205,0.3,2020/02/28
Egypt,576,+40,36,+6,121,419,,6,0.4,2020/02/13
"Hong Kong",560,+41,4,,112,444,5,75,0.5,2020/01/22
Iraq,506,+48,42,+2,131,333,,13,1,2020/02/21
Bahrain,476,+10,4,,265,207,1,280,2,2020/02/23
UAE,468,+63,2,,52,414,2,47,0.2,2020/01/28
Algeria,454,+45,29,+3,31,394,,10,0.7,2020/02/24
"New Zealand",451,+83,,,50,401,2,94,,2020/02/27
Lebanon,412,+21,8,,30,374,4,60,1,2020/02/20
Armenia,407,+78,1,,30,376,6,137,0.3,2020/02/29
Morocco,402,+57,25,+2,12,365,1,11,0.7,2020/03/01
Lithuania,394,+36,7,+2,1,386,2,145,3,2020/02/27
Ukraine,356,+46,9,+4,5,342,,8,0.2,2020/03/02
Hungary,343,+43,11,+1,34,298,6,36,1,2020/03/03
Bulgaria,331,+38,7,+4,11,313,8,48,1,2020/03/06
Andorra,308,+41,3,,1,304,10,3986,39,2020/03/01
Latvia,305,+25,,,1,304,3,162,,2020/03/01
"Costa Rica",295,+32,2,,3,290,6,58,0.4,2020/03/04
Slovakia,292,+23,,,2,290,1,53,,2020/03/05
Taiwan,283,+16,2,,30,251,,12,0.08,2020/01/20
Tunisia,278,+51,8,+1,2,268,10,24,0.7,2020/03/01
"Bosnia and Herzegovina",278,+41,6,+2,8,264,1,85,2,2020/03/04
Uruguay,274,+36,,,,274,8,79,,2020/03/12
Jordan,246,+11,1,,18,227,3,24,0.1,2020/03/01
"North Macedonia",241,+22,4,+1,3,234,1,116,2,2020/02/25
Kuwait,235,+10,,,64,171,11,55,,2020/02/23
Moldova,231,+32,2,,2,227,33,57,0.5,2020/03/06
Kazakhstan,228,+78,1,,16,211,,12,0.05,2020/03/12
"San Marino",224,+1,22,+1,6,196,16,6602,648,2020/02/26
"Burkina Faso",207,+27,11,+2,21,175,,10,0.5,2020/03/08
Albania,197,+11,10,+2,31,156,3,68,3,2020/03/07
Réunion,183,+38,,,1,182,,204,,2020/03/10
Azerbaijan,182,+17,4,+1,15,163,23,18,0.4,2020/02/27
Cyprus,179,+17,5,,15,159,3,148,4,2020/03/08
Vietnam,174,+11,,,21,153,3,2,,2020/01/22
"Faeroe Islands",155,+11,,,54,101,2,3172,,2020/03/03
Oman,152,+21,,,23,129,,30,,2020/02/23
Malta,149,+10,,,2,147,1,337,,2020/03/06
Ghana,141,+4,5,+1,2,134,1,5,0.2,2020/03/11
Senegal,130,+11,,,18,112,,8,,2020/03/01
Brunei,120,+5,1,+1,25,94,1,274,2,2020/03/08
Cuba,119,+39,3,+1,4,112,2,11,0.3,2020/03/10
Venezuela,119,+6,2,,39,78,2,4,0.07,2020/03/12
"Sri Lanka",113,+7,1,+1,9,103,5,5,0.05,2020/01/26
Afghanistan,110,,4,,2,104,,3,0.1,2020/02/23
Uzbekistan,104,+16,2,+1,5,97,8,3,0.06,2020/03/14
Guadeloupe,102,+29,2,+1,17,83,4,255,5,2020/03/12
Mauritius,102,+8,2,,,100,1,80,2,2020/03/17
"Ivory Coast",101,,,,3,98,,4,,2020/03/10
Cambodia,99,,,,13,86,1,6,,2020/01/26
Palestine,98,+7,1,,18,79,,19,0.2,2020/03/04
"Channel Islands",97,+9,1,,,96,,558,6,2020/03/08
Nigeria,97,+27,1,,3,93,,0.5,0,2020/02/27
Honduras,95,+27,1,,3,91,4,10,0.1,2020/03/10
Belarus,94,,,,32,62,2,10,,2020/02/27
Martinique,93,,1,,,92,12,248,3,2020/03/04
Cameroon,91,,2,,2,87,,3,0.08,2020/03/05
Georgia,90,+7,,,14,76,1,23,,2020/02/25
Montenegro,84,+2,1,,,83,1,134,2,2020/03/16
"Trinidad and Tobago",76,+10,3,+1,1,72,,54,2,2020/03/11
Bolivia,74,+13,,,,74,,6,,2020/03/09
DRC,65,+14,6,+3,2,57,,0.7,0.07,2020/03/09
Mayotte,63,+13,,,,63,,231,,2020/03/13
Rwanda,60,+6,,,,60,,5,,2020/03/13
Kyrgyzstan,58,,,,,58,,9,,2020/03/17
Paraguay,56,+4,3,,1,52,1,8,0.4,2020/03/06
Gibraltar,56,+1,,,14,42,,1662,,2020/03/02
Liechtenstein,56,,,,,56,,1469,,2020/03/02
Bangladesh,48,,5,,15,28,1,0.3,0.03,2020/03/07
Aruba,46,+13,,,1,45,,431,,2020/03/12
Monaco,42,,,,1,41,,1070,,2020/02/27
Kenya,38,+7,1,,1,36,2,0.7,0.02,2020/03/12
Guatemala,34,+6,1,,10,23,1,2,0.06,2020/03/12
Macao,34,,,,10,24,,52,,2020/01/21
"Isle of Man",32,+3,,,,32,,376,,2020/03/18
Jamaica,30,+4,1,,2,27,,10,0.3,2020/03/09
"French Polynesia",30,,,,,30,,107,,2020/03/10
Uganda,30,+7,,,,30,,0.7,,2020/03/20
"French Guiana",28,,,,6,22,,94,,2020/03/06
Zambia,28,+6,,,,28,,2,,2020/03/17
Barbados,26,,,,,26,,90,,2020/03/16
Madagascar,26,,,,,26,,0.9,,2020/03/19
Togo,25,,1,,1,23,,3,0.1,2020/03/05
"El Salvador",19,+6,,,,19,,3,,2020/03/18
Mali,18,+7,,,,18,,0.9,,2020/03/24
Bermuda,17,,,,2,15,,273,,2020/03/17
Ethiopia,16,,,,1,15,,0.1,,2020/03/12
Maldives,16,,,,9,7,,30,,2020/03/06
"New Caledonia",15,,,,,15,,53,,2020/03/17
Djibouti,14,+2,,,,14,,14,,2020/03/17
Tanzania,14,+1,,,1,13,,0.2,,2020/03/15
"Equatorial Guinea",12,,,,,12,,9,,2020/03/13
Mongolia,12,+1,,,,12,,4,,2020/03/09
Dominica,11,,,,,11,,153,,2020/03/21
"Saint Martin",11,,,,,11,,284,,2020/02/29
Niger,10,,1,,,9,,0.4,0.04,2020/03/18
Bahamas,10,,,,1,9,,25,,2020/03/14
Greenland,10,,,,2,8,,176,,2020/03/15
Eswatini,9,,,,,9,,8,,2020/03/13
"Cayman Islands",8,,1,,,7,,122,15,2020/03/12
Curaçao,8,,1,,2,5,,49,6,2020/03/12
Guyana,8,+3,1,,,7,,10,1,2020/03/11
Guinea,8,,,,,8,,0.6,,2020/03/12
Haiti,8,,,,,8,,0.7,,2020/03/19
Laos,8,+2,,,,8,,1,,2020/03/23
Mozambique,8,+1,,,,8,,0.3,,2020/03/21
Myanmar,8,,,,,8,,0.1,,2020/03/22
Namibia,8,,,,2,6,,3,,2020/03/13
Seychelles,8,+1,,,,8,,81,,2020/03/13
Suriname,8,,,,,8,,14,,2020/03/12
Gabon,7,,1,,,6,,3,0.4,2020/03/12
Zimbabwe,7,+2,1,,,6,,0.5,0.07,2020/03/19
"Antigua and Barbuda",7,,,,,7,,71,,2020/03/12
Grenada,7,,,,,7,,62,,2020/03/21
Benin,6,,,,,6,,0.5,,2020/03/15
Eritrea,6,,,,,6,,2,,2020/03/20
"Vatican City",6,+2,,,,6,,7491,,2020/03/05
"Cabo Verde",5,,1,,,4,,9,2,2020/03/19
Sudan,5,+2,1,,,4,,0.1,0.02,2020/03/12
Nepal,5,+1,,,1,4,,0.2,,2020/01/23
Angola,5,+1,,,,5,,0.2,,2020/03/19
Fiji,5,,,,,5,,6,,2020/03/18
Mauritania,5,+2,,,,5,,1,,2020/03/12
Montserrat,5,,,,,5,,1002,,2020/03/17
"St. Barth",5,,,,,5,,506,,2020/02/29
Syria,5,,,,,5,,0.3,,2020/03/21
Nicaragua,4,,1,,,3,,0.6,0.2,2020/03/18
Congo,4,,,,,4,,0.7,,2020/03/14
"Turks and Caicos",4,+2,,,,4,,103,,2020/03/22
Gambia,3,,1,,,2,,1,0.4,2020/03/16
Bhutan,3,,,,,3,,4,,2020/03/05
CAR,3,,,,,3,,0.6,,2020/03/14
Chad,3,,,,,3,,0.2,,2020/03/18
Liberia,3,,,,,3,,0.6,,2020/03/15
Libya,3,+2,,,,3,,0.4,,2020/03/23
"Saint Lucia",3,,,,1,2,,16,,2020/03/12
"Sint Maarten",3,,,,,3,,70,,2020/03/17
Somalia,3,,,,,3,,0.2,,2020/03/15
"MS Zaandam",2,,,,,2,,,,2020/03/26
Anguilla,2,,,,,2,,133,,2020/03/25
Belize,2,,,,,2,,5,,2020/03/22
"British Virgin Islands",2,,,,,2,,66,,2020/03/24
Guinea-Bissau,2,,,,,2,,1,,2020/03/24
"Saint Kitts and Nevis",2,,,,,2,,38,,2020/03/24
"Papua New Guinea",1,,,,,1,,0.1,,2020/03/19
"St. Vincent Grenadines",1,,,,1,0,,9,,2020/03/10
Timor-Leste,1,,,,,1,,0.8,,2020/03/20
China,81394,,3295,,74971,3128,886,57,2,2020/01/10
*Total:*,662598,"+66,232",30840,"+3,496",141468,490290,25544,85,4,
